# {"t_start": 1574707789.0534718, "env_id": "AntBulletEnv-v0"} 
r,l,t
219.387478,507,4.754627
464.077113,1000,10.559183
462.429708,1000,18.014242
371.678384,1000,23.712057
50.079233,125,24.413209
463.952097,1000,30.099123
442.598438,1000,35.744405
448.849551,1000,41.419361
33.105696,75,41.66304
350.974043,1000,44.904273
348.826405,1000,48.259406
468.405341,1000,51.419628
469.527128,1000,54.924991
305.757935,634,57.012368
491.082302,1000,60.488384
473.229041,1000,63.65492
509.977138,1000,66.95534
467.692026,1000,70.051953
430.852302,1000,73.250895
504.925839,1000,76.671078
513.87725,1000,79.975192
502.745939,1000,83.422021
531.769178,1000,86.587125
503.317414,1000,89.819806
549.074534,1000,92.899881
480.762785,1000,96.191163
506.721695,1000,99.428936
454.094484,1000,103.6883
558.714365,1000,109.206622
427.375203,1000,113.487702
506.473641,1000,117.457666
464.412441,1000,123.383259
513.302508,1000,128.989588
468.956598,1000,134.303883
465.952099,1000,139.871824
553.502735,1000,144.382305
451.098876,1000,147.825554
533.786151,1000,152.017117
505.811626,1000,157.638684
542.115895,1000,162.374641
463.29695,1000,165.914438
476.378238,1000,169.765547
420.521044,1000,175.458009
537.047392,1000,180.43752
482.026864,1000,185.90115
481.271829,1000,191.075695
552.51798,1000,194.969993
465.59487,1000,200.172096
493.75387,1000,205.753747
487.194974,1000,211.024616
488.843004,1000,214.531614
543.892174,1000,218.190448
522.009302,1000,222.221535
468.062349,1000,227.814393
399.395895,1000,233.265939
405.755399,1000,238.798398
350.695009,1000,244.435414
516.385382,1000,250.243052
534.573041,1000,255.749483
459.514904,1000,261.307494
419.408414,1000,265.009938
441.375654,1000,268.788809
449.39134,1000,274.574881
455.41318,1000,280.160149
550.865236,1000,284.102804
457.636385,1000,289.600259
501.952071,1000,293.588737
503.06529,1000,298.397974
454.750709,1000,302.707311
450.385849,1000,308.24282
580.52533,1000,312.731719
471.936195,1000,318.40484
398.064403,1000,322.708902
370.347192,1000,326.255065
517.5676,1000,331.188715
439.775337,1000,336.878938
432.281087,1000,341.27868
387.582245,1000,346.841105
436.817903,1000,351.567464
416.475603,1000,355.089646
357.728412,1000,359.479356
392.425267,1000,364.991392
368.288625,1000,369.904525
460.237725,1000,373.492805
364.838127,1000,378.43013
332.113606,1000,382.182173
350.326534,1000,387.134297
512.964148,1000,392.694065
455.16105,1000,397.887931
373.228664,1000,402.603127
404.266196,1000,408.381282
353.706909,1000,414.085193
374.277605,1000,419.371546
460.829369,1000,422.955199
351.824507,1000,427.286026
341.492317,1000,432.828937
339.085431,1000,438.415606
367.024334,1000,442.200306
396.862239,1000,447.883475
357.805969,1000,453.440678
370.435469,1000,459.148387
376.831519,1000,462.719316
418.658229,1000,468.207525
402.612303,1000,471.914973
345.452048,1000,475.43332
471.157427,1000,481.1231
372.009963,1000,486.737538
401.541814,1000,490.721833
414.26076,1000,494.861953
479.164231,1000,498.8385
380.314024,1000,504.396289
408.607668,1000,508.518099
542.576464,1000,512.222739
430.561248,1000,516.551196
412.187611,1000,520.09143
330.953085,1000,524.820838
491.919282,1000,530.359767
391.057146,1000,534.894286
394.277665,1000,538.444648
485.052238,1000,543.248626
532.986011,1000,548.807395
410.478695,1000,553.499388
514.9832,1000,557.056828
418.894493,1000,561.430793
432.419119,1000,564.970551
476.350171,1000,568.776542
454.321587,1000,574.478302
89.936859,132,575.224219
448.588518,1000,579.844903
446.076083,1000,583.421705
415.913433,1000,587.21047
409.312807,1000,592.935348
396.304592,1000,597.81306
496.13171,1000,601.414229
460.791108,1000,606.290931
403.400649,1000,609.882342
371.080286,1000,615.658975
418.725504,1000,621.285949
453.601885,1000,626.512023
433.019352,1000,630.102687
471.297846,1000,635.255712
360.625581,1000,640.834701
364.857923,1000,646.306669
350.832344,1000,651.866876
444.656606,1000,657.342836
470.955031,1000,660.881121
389.285543,1000,666.330533
410.081167,1000,671.814779
469.858021,1000,677.640575
311.732206,671,680.322259
413.639812,1000,686.062716
275.269333,678,689.282218
437.088298,1000,692.992322
368.363063,1000,696.706497
402.890718,1000,701.455656
383.977395,1000,707.321183
449.933933,1000,713.066842
338.281901,1000,718.393487
350.879639,1000,721.966768
358.233556,1000,727.391578
420.842969,1000,732.928284
450.286626,1000,738.73468
326.232177,1000,744.421017
399.368526,1000,750.062821
330.522169,1000,753.604247
358.967826,1000,758.160115
367.095415,1000,761.697961
333.872264,1000,765.214952
397.403567,1000,770.375324
342.87306,1000,776.038678
462.546848,1000,779.921707
393.793213,1000,785.464018
406.607678,1000,789.514329
342.219779,1000,793.458838
431.32174,1000,797.572815
332.338375,1000,801.183823
340.306471,1000,805.905193
342.891648,1000,811.538848
322.998641,1000,815.876838
353.083546,1000,819.429978
371.604334,1000,823.408559
383.024421,1000,826.602349
432.529531,1000,829.907596
360.360869,1000,833.079734
361.64996,1000,836.381666
454.399133,1000,839.521842
359.836413,1000,842.763271
415.870055,1000,845.898462
337.426691,1000,849.19043
349.730135,1000,852.37112
422.750246,1000,855.71711
435.849421,1000,858.901496
425.627079,1000,862.17463
411.81863,1000,865.390089
447.979714,1000,868.745447
352.101544,1000,871.981481
356.894418,1000,875.318328
372.987425,1000,878.507625
285.57219,1000,881.84057
431.187412,1000,885.058209
370.935074,1000,888.379648
460.588066,1000,891.520783
326.757549,1000,894.918101
324.373065,1000,898.095809
382.571257,1000,901.442585
338.726906,1000,904.60202
411.303175,1000,907.919397
366.762713,1000,911.092615
376.092069,1000,914.41913
338.803484,1000,917.571861
271.314533,1000,920.824063
353.997378,1000,924.160999
401.482994,1000,927.37439
322.435753,1000,930.684975
316.673384,1000,933.773928
330.8216,1000,937.056117
352.167584,1000,940.207986
308.401139,1000,943.539673
371.950793,1000,946.733798
322.534009,1000,950.083116
341.69193,1000,953.235782
373.842598,1000,956.465368
343.070797,1000,959.65631
419.543403,1000,962.942335
397.568421,1000,966.098272
345.663363,1000,969.396542
426.698903,1000,972.586119
431.138848,1000,975.926959
399.690543,1000,979.049073
