# {"t_start": 1573493121.4565496, "env_id": "AntBulletEnv-v0"} 
r,l,t
449.452957,1000,2.618086
427.824532,1000,4.566718
481.435092,1000,7.210603
332.159514,1000,9.177562
442.691984,1000,11.174809
423.131785,1000,13.098361
317.024844,1000,15.11393
429.436034,1000,17.06088
449.073196,1000,19.062516
376.946088,1000,21.001496
398.63293,1000,23.00271
459.104762,1000,24.935252
465.791066,1000,26.916942
355.958112,1000,28.872856
467.760481,1000,30.862811
478.284269,1000,32.801556
369.359255,1000,34.835299
480.462129,1000,36.761113
507.40548,1000,38.747394
459.851579,1000,40.673321
344.10176,1000,42.669472
494.832476,1000,44.575068
442.014851,1000,46.554973
484.644784,1000,48.476532
516.881586,1000,50.451752
504.987526,1000,52.364664
489.774283,1000,54.344397
477.577105,1000,56.271111
494.718059,1000,58.251805
430.603079,1000,60.237272
471.337175,1000,62.235392
484.263231,1000,64.214793
525.039198,1000,66.203888
481.769479,1000,68.182748
520.526946,1000,70.393746
551.986279,1000,72.718492
534.637536,1000,74.708912
521.33724,1000,76.652217
505.909447,1000,78.883909
571.702604,1000,80.807037
522.983073,1000,82.844034
486.580918,1000,84.809419
533.986477,1000,86.756267
503.351617,1000,88.758188
528.485973,1000,90.699821
457.279595,1000,92.687394
471.912124,1000,94.621102
462.43245,1000,96.658305
516.95072,1000,98.588598
486.648751,1000,100.573232
468.436374,1000,102.483404
486.216339,1000,104.493033
494.068234,1000,106.500137
448.65842,1000,108.496264
508.789964,1000,110.441542
492.754249,1000,112.438412
553.036964,1000,114.325706
495.965006,1000,116.305888
485.137458,1000,118.233366
477.114946,1000,120.222127
391.722368,1000,122.164538
482.501269,1000,124.165448
482.425474,1000,126.08477
462.760038,1000,128.073207
399.327313,1000,130.020761
490.979496,1000,132.018665
495.914172,1000,133.969351
496.697433,1000,135.923466
493.279023,1000,137.834225
511.158914,1000,139.807909
454.982417,1000,141.737373
504.061094,1000,143.705131
471.151368,1000,145.65529
513.959871,1000,147.625806
492.128189,1000,149.546723
407.130574,1000,151.53988
493.256795,1000,153.443583
502.03241,1000,155.462939
428.107465,1000,157.425138
455.208248,1000,159.44802
471.551153,1000,161.390037
508.420077,1000,163.35073
500.988071,1000,165.313514
471.821531,1000,167.382984
487.372906,1000,169.338653
443.012047,1000,171.318432
455.8884,1000,173.324433
456.628762,1000,175.276602
450.386562,1000,177.297458
446.431949,1000,179.299875
453.081253,1000,181.325041
457.897136,1000,183.255314
469.790575,1000,185.248257
456.370701,1000,187.167506
478.805173,1000,189.22989
450.618741,1000,191.177266
457.687813,1000,193.181999
461.995282,1000,195.112737
459.309698,1000,197.113791
476.513053,1000,199.031592
524.762822,1000,201.051013
352.627003,1000,202.99387
459.43133,1000,205.026773
496.077916,1000,206.94934
447.986685,1000,208.956898
496.933861,1000,210.981681
508.278951,1000,212.978082
455.409887,1000,214.923921
485.525016,1000,216.935235
474.111304,1000,218.919637
477.819703,1000,221.022288
510.95108,1000,223.05725
500.382122,1000,225.228785
488.994129,1000,227.191576
488.456462,1000,229.250691
465.746725,1000,231.215891
493.914443,1000,233.231195
475.766995,1000,235.192858
467.187253,1000,237.21574
467.697886,1000,239.169882
475.938782,1000,241.226785
458.715052,1000,243.295713
431.071512,1000,245.356173
466.224548,1000,247.314547
74.69283,160,247.622586
489.459728,1000,249.67505
