eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
753.5,341.73229549999996,147,0.0005866282,0.00012207031,11.34908,-0.0020746407,27.79201,-0.008497357368469238,1,2048,13.899770175979938,2048
938.1627906976744,445.8481127209303,185,0.005934664,0.0814209,11.288217,-0.003225073,19.429447,-0.10135447978973389,20,40960,177.42970256897388,40960
968.3452380952381,453.2654778214285,234,0.0074425247,0.103881836,11.227733,-0.002438794,10.041691,0.07769036293029785,40,81920,375.27052870299667,81920
1000.0,444.61307340999997,274,0.008968268,0.13330078,11.208345,-0.0020754572,8.506961,0.22102749347686768,60,122880,565.4010949269868,122880
984.81,406.83870631000013,277,0.009523931,0.13342285,11.193346,-0.00048483774,7.783432,0.05674445629119873,80,163840,763.780187811004,163840
984.81,396.73777364,308,0.011561043,0.16833496,11.198205,0.0013530382,7.9337044,-0.08034658432006836,100,204800,912.6856081109727,204800
987.57,372.21621039999997,221,0.01101443,0.15625,11.181314,-0.0015541345,6.2725534,0.508475124835968,120,245760,1063.330708516005,245760
978.12,375.99025095999997,220,0.011535039,0.16711426,11.176049,0.002696371,14.8661,0.26327359676361084,140,286720,1248.2345620789565,286720
911.23,350.10376002,221,0.008050887,0.10839844,11.1393585,-0.0028326847,4.428696,0.7483320832252502,160,327680,1432.805241219001,327680
869.01,341.03961522,223,0.0056434968,0.07312012,11.106005,0.00024552678,6.625203,0.8671057820320129,180,368640,1617.323127679003,368640
822.76,336.17186763000007,221,0.011100573,0.16394043,11.062308,-0.0023844452,5.1043353,0.7955590486526489,200,409600,1801.7537962499773,409600
809.03,330.89965011,221,0.010502567,0.15112305,11.008054,-0.0004893729,7.5406966,0.8051894456148148,220,450560,1986.2597126539913,450560
864.25,355.4158690600001,222,0.007591625,0.103393555,10.964898,-0.0016430747,8.626621,0.35524219274520874,240,491520,2170.822261468973,491520
897.41,383.0345572,222,0.006177118,0.08154297,10.898339,-0.0014011872,4.6058383,0.7725147306919098,260,532480,2355.340288556996,532480
972.22,426.88423969999997,221,0.012961389,0.18688965,10.852507,-0.0012439922,8.085473,0.34366631507873535,280,573440,2540.048290812003,573440
999.47,442.71811971999995,230,0.017771255,0.24365234,10.837641,-0.005239507,8.904268,0.11626064777374268,300,614400,2720.7178479809663,614400
995.31,450.21786862,220,0.014033943,0.19494629,10.832256,-0.0018092347,6.8067284,0.5668698847293854,320,655360,2899.1389351430116,655360
985.68,451.5912187999999,222,0.0096007865,0.14013672,10.806498,-0.0010381553,7.4306855,0.44259220361709595,340,696320,3083.46361644601,696320
989.84,438.15613297000004,220,0.011801222,0.18078613,10.822909,-0.0031490596,10.19209,0.5455430746078491,360,737280,3268.2922818769584,737280
1000.0,431.3890284499999,219,0.010240377,0.14758301,10.837482,-0.0029178052,9.39424,0.2779167890548706,380,778240,3452.9673983429675,778240
1000.0,434.45341972,221,0.008975516,0.13098145,10.811181,-0.00077914953,8.468231,0.43295031785964966,400,819200,3637.610693517956,819200
991.37,438.9137159500001,224,0.008377562,0.118896484,10.772132,-0.0029926435,8.215569,0.4728236198425293,420,860160,3821.5915308779804,860160
983.6,436.0153428599999,220,0.014786024,0.21191406,10.758513,-0.0034499092,8.361086,0.6621681153774261,440,901120,4006.0902794409776,901120
976.48,439.17266472000006,222,0.00485053,0.05480957,10.742372,0.00030096062,11.051714,0.6607595682144165,460,942080,4190.399978439964,942080
971.9,454.3329107100001,222,0.012322399,0.17932129,10.722217,0.00041275006,10.388798,0.6795937418937683,480,983040,4374.9184521689895,983040
995.42,475.84449751,222,0.008643541,0.12780762,10.748841,-0.003563412,8.433615,0.6671973168849945,500,1024000,4559.548768106964,1024000
970.15,464.5368539600001,222,0.011468984,0.16516113,10.733111,-0.00021827349,9.171445,0.7552391439676285,520,1064960,4744.478926225973,1064960
970.15,457.1442764799999,221,0.013996921,0.2055664,10.708353,-0.003540181,10.651728,0.5770473480224609,540,1105920,4929.485518049973,1105920
960.96,448.6171813100001,222,0.014250392,0.1920166,10.712475,0.0029610852,10.977108,0.45581120252609253,560,1146880,5114.121729686973,1146880
986.38,477.59277601,220,0.0072636874,0.1003418,10.719794,-0.00011142358,14.317414,0.3514406085014343,580,1187840,5298.806729074975,1187840
994.04,491.6680874000001,221,0.007091432,0.0970459,10.677642,-0.0011617993,15.943612,0.6065260171890259,600,1228800,5483.449038724008,1228800
994.04,488.17315080000003,220,0.010996666,0.16174316,10.677172,-0.0014185638,11.162969,0.734053373336792,620,1269760,5667.97236188798,1269760
993.91,493.33929469000003,221,0.013384847,0.19030762,10.663401,0.00051084795,10.016449,0.5854242146015167,640,1310720,5852.711541377008,1310720
991.66,504.72149675000003,221,0.011096257,0.16564941,10.6563225,-0.00069092045,9.252529,0.6395553350448608,660,1351680,6037.7603007910075,1351680
972.76,485.5291161699999,222,0.011782022,0.16809082,10.617871,-0.0027971468,7.8179097,0.6038874685764313,680,1392640,6222.436121756968,1392640
968.09,482.1874742300001,220,0.012520917,0.17785645,10.57753,-0.0011215971,11.483392,0.7036406099796295,700,1433600,6407.457759679994,1433600
989.37,499.46076824999994,221,0.013245963,0.1821289,10.548375,-0.0041280314,10.026979,0.20496541261672974,720,1474560,6592.581981469004,1474560
995.2,508.97030291999994,221,0.0087332465,0.118774414,10.556483,-0.0017034387,9.8525,0.6898099184036255,740,1515520,6777.649685353972,1515520
1000.0,488.3814642199998,220,0.012263623,0.17480469,10.54489,-0.00054096454,10.505431,0.6785933673381805,760,1556480,6962.600592272996,1556480
984.07,460.20086571,221,0.0088582225,0.12585449,10.530138,0.00012279843,8.873383,0.7391442954540253,780,1597440,7146.853324911965,1597440
978.82,478.35483488,222,0.018340584,0.2614746,10.517793,0.00012153524,8.039974,0.5433884263038635,800,1638400,7331.331707251957,1638400
961.25,501.3323917100001,221,0.014006492,0.21008301,10.494393,-0.00089662353,10.182779,0.491671621799469,820,1679360,7515.983138162992,1679360
970.96,512.7141978999999,221,0.015018786,0.20263672,10.465385,6.5243396e-05,7.5294423,0.9257840812206268,840,1720320,7700.905648325977,1720320
966.36,514.7632796499998,221,0.0140339825,0.1932373,10.451716,-0.0030645644,13.46897,0.6651212573051453,860,1761280,7885.513721062976,1761280
968.9,506.4235582900001,220,0.011477962,0.17419434,10.391776,-0.0023544282,9.052391,0.6968777179718018,880,1802240,8070.095803387987,1802240
978.69,510.52875566,221,0.020200865,0.27575684,10.392722,-0.003846229,12.623944,0.5423327684402466,900,1843200,8255.039620168973,1843200
966.68,506.92839286000003,222,0.010317206,0.1496582,10.410826,-0.0019348988,9.017288,0.6655366718769073,920,1884160,8439.833067192987,1884160
967.07,518.76643414,220,0.013587207,0.20666504,10.382781,-0.0011824833,13.4741745,0.3415955901145935,940,1925120,8624.62765998498,1925120
968.6,530.47413405,218,0.011083626,0.16772461,10.343907,0.002022056,10.21837,0.6072888374328613,960,1966080,8809.133900573011,1966080
972.71,530.45642839,223,0.007243769,0.10217285,10.334486,-3.466764e-05,12.297646,0.6006654500961304,980,2007040,8993.61029627797,2007040
976.13,533.7447691100001,219,0.0055416003,0.06298828,10.298294,0.0007878532,12.188745,0.38909614086151123,1000,2048000,9178.540816588968,2048000
949.68,521.4569413999999,221,0.008221387,0.11340332,10.29118,-0.0007127194,3.5889363,0.9115685746073723,1020,2088960,9363.340603001008,2088960
913.96,506.91070857,221,0.0139175095,0.20812988,10.253778,0.00045647623,9.620523,0.7352601885795593,1040,2129920,9548.01632443699,2129920
925.01,503.80222410000005,221,0.010259298,0.14978027,10.242586,-0.0027025575,13.72281,0.7360852360725403,1060,2170880,9732.557528533973,2170880
956.52,527.55440276,222,0.018030493,0.2640381,10.2031975,0.0023185008,13.315843,0.437408447265625,1080,2211840,9917.079493306985,2211840
958.9,546.89018412,220,0.008638976,0.12475586,10.208866,-0.0008120532,3.0110462,0.9840050227940083,1100,2252800,10101.830024922965,2252800
926.6,523.54867931,221,0.010874162,0.1673584,10.126615,-0.0028520487,10.273146,0.7817016541957855,1120,2293760,10286.523309029988,2293760
891.59,481.31356786000003,222,0.015828166,0.23254395,10.038156,0.001142215,11.645215,0.500511646270752,1140,2334720,10471.657085140992,2334720
923.36,491.9686578700001,221,0.017505383,0.25915527,9.960944,0.0002941708,12.585818,0.4162501096725464,1160,2375680,10656.667675471981,2375680
970.61,507.67699777999997,221,0.011165922,0.16137695,9.965308,-0.0019688685,7.208349,0.7547142803668976,1180,2416640,10841.539143867965,2416640
972.62,509.80536330999996,221,0.010384667,0.15576172,9.965718,-0.0018673724,12.489894,0.36120206117630005,1200,2457600,11026.598895750998,2457600
955.93,530.27637484,222,0.009038162,0.12841797,9.93085,-0.002070806,14.493808,0.13917839527130127,1220,2498560,11211.24919241597,2498560
950.22,555.53853621,221,0.01252201,0.18493652,9.874235,-0.00047010763,15.944732,0.28511738777160645,1240,2539520,11396.39858807798,2539520
958.08,560.65304724,222,0.015537171,0.23156738,9.860021,-0.002880159,11.602696,0.5084658861160278,1260,2580480,11581.078978475009,2580480
906.58,524.37470946,221,0.015923496,0.21960449,9.8272915,-0.00046900718,11.265592,0.4960792064666748,1280,2621440,11765.894048445974,2621440
855.65,503.26817814000003,221,0.015048888,0.20678711,9.799332,8.064974e-05,12.633698,0.6115460693836212,1300,2662400,11950.770145015966,2662400
894.23,541.3160575400001,221,0.009636897,0.12792969,9.722695,0.0010602409,10.7457485,0.7341873943805695,1320,2703360,12135.480750647956,2703360
915.9,567.55928324,220,0.012842397,0.18017578,9.658714,-0.0027943219,7.9525824,0.8417490273714066,1340,2744320,12320.303564754955,2744320
922.62,571.32514652,220,0.017860416,0.25097656,9.604438,-0.00015735097,10.601261,0.6690748035907745,1360,2785280,12505.361564563005,2785280
906.91,552.0518215200001,220,0.009144006,0.13000488,9.5813465,0.004557687,4.692355,0.9055801033973694,1380,2826240,12690.279561178002,2826240
888.26,536.4142433,220,0.010108968,0.15637207,9.541399,-0.001459921,10.7728815,0.6594327688217163,1400,2867200,12875.114801410993,2867200
903.0,534.30866493,220,0.008984739,0.12695312,9.45299,-0.0007482757,11.079593,0.8190902918577194,1420,2908160,13060.473830058996,2908160
946.25,552.5056063699999,222,0.012630074,0.17480469,9.439835,-0.0010645208,5.3554645,0.9307703077793121,1440,2949120,13245.407273851975,2949120
967.1,571.75703888,221,0.010047942,0.14575195,9.385105,-0.0006306736,14.588065,0.5660630166530609,1460,2990080,13430.11264853098,2990080
966.15,601.9457339399999,220,0.019296616,0.26428223,9.329022,-0.0011247218,18.236275,0.2520625591278076,1480,3031040,13615.28023578698,3031040
972.38,621.55598791,221,0.010124222,0.15014648,9.291064,-0.003923298,7.029,0.8753203973174095,1500,3072000,13800.477735769993,3072000
971.82,627.9821754899999,220,0.021485941,0.25280762,9.231505,0.0012281764,18.589035,0.34103190898895264,1520,3112960,13985.75902142201,3112960
979.17,625.62185475,222,0.02488812,0.33312988,9.208731,0.0021303126,17.322685,0.22979998588562012,1540,3153920,14170.69893805799,3153920
962.57,606.88489245,221,0.019518606,0.26245117,9.125165,0.0023615945,13.615457,0.5404528677463531,1560,3194880,14355.724760290002,3194880
966.74,614.59533206,220,0.013760762,0.2006836,9.080325,0.0008102752,8.157329,0.8921425491571426,1580,3235840,14541.162863651,3235840
