eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,438.63874450000003,430,0.00074005534,0.00024414062,11.346998,-0.0037335944,26.035412,-0.0017200708389282227,1,2048,4.761305441999866,2048
1000.0,460.510768325,504,0.014133137,0.16748047,11.286173,0.0034297833,31.050423,-0.29308927059173584,20,40960,82.17701787900114,40960
1000.0,471.6241415925926,511,0.008622591,0.12243652,11.273921,-0.0013122086,28.768456,-0.1362072229385376,40,81920,162.611153535001,81920
1000.0,481.06570280999995,482,0.017515952,0.24438477,11.268455,0.0059003043,15.685567,-0.021894216537475586,60,122880,244.52865089199986,122880
973.39,451.95040627000003,500,0.0058325296,0.07092285,11.256281,0.004194287,21.328249,-0.14872264862060547,80,163840,326.77904752500035,163840
961.34,454.08889611000006,489,0.01645743,0.22351074,11.244705,0.0013258274,14.325479,-0.04308724403381348,100,204800,407.83129182800076,204800
971.01,469.70682189,499,0.009200114,0.1295166,11.229205,0.0015833464,19.70076,-0.08083438873291016,120,245760,488.65511379000054,245760
987.54,468.89898624999995,501,0.014351371,0.20263672,11.23107,-0.0014697044,9.266131,-0.014722228050231934,140,286720,570.0654521080014,286720
991.62,468.24448106999995,503,0.01009,0.15209961,11.195245,0.00054606085,16.904364,-0.18721020221710205,160,327680,650.7927373940001,327680
996.45,485.3967031599999,504,0.012777709,0.19152832,11.185351,0.0011926437,13.917402,-0.09134805202484131,180,368640,731.3843304970014,368640
1000.0,499.32789808,506,0.014326925,0.20056152,11.165642,-0.00042805204,19.391294,-0.08683979511260986,200,409600,811.6573928960006,409600
1000.0,504.50101959000006,503,0.0054571056,0.06347656,11.143799,-0.0007585099,17.207882,-0.09206783771514893,220,450560,892.0768730489999,450560
1000.0,513.6579827099999,500,0.008017326,0.11608887,11.1260195,0.001179291,15.3615055,0.14710575342178345,240,491520,972.2850495680013,491520
1000.0,505.07221412,505,0.011370073,0.1685791,11.109707,-0.0018405791,16.28628,-0.06165146827697754,260,532480,1052.777218739,532480
1000.0,495.3818281,502,0.0077580926,0.115112305,11.094516,-0.0016843183,13.060935,-0.03562605381011963,280,573440,1133.3984314380014,573440
1000.0,478.50927814000005,499,0.007924078,0.11669922,11.0756645,-0.0019622596,11.171048,-0.06671452522277832,300,614400,1214.174610047001,614400
986.35,411.46074004999997,493,0.0071692513,0.09765625,11.042647,-0.0010391433,12.2902155,-0.05226480960845947,320,655360,1296.0261374420006,655360
979.81,384.85546816999994,500,0.0034036846,0.030517578,11.0095825,0.0022475505,12.753241,-0.16034221649169922,340,696320,1378.032536527,696320
988.47,429.97420752000005,295,0.014958038,0.2133789,10.972338,-0.0019503492,10.648498,-0.01625382900238037,360,737280,1501.585949841001,737280
997.26,469.30336932000006,288,0.01111694,0.16442871,10.968823,-0.00071246654,12.527642,-0.008203983306884766,380,778240,1640.2827132250004,778240
997.26,490.94589403,293,0.012801044,0.18896484,10.945622,0.0034424101,20.675726,0.15060776472091675,400,819200,1779.3955985210014,819200
997.26,494.82831075999997,290,0.011795636,0.17492676,10.8863125,-0.0014653709,9.899217,-0.0904543399810791,420,860160,1917.915616788001,860160
984.87,493.99770266,296,0.009224067,0.13903809,10.833664,-0.0008919854,12.40232,0.15520191192626953,440,901120,2057.00781533,901120
980.28,501.13221515,291,0.0102420915,0.15515137,10.815567,0.0006159574,12.285099,-0.021953344345092773,460,942080,2195.9897705130006,942080
995.41,507.5598829799999,290,0.014377232,0.2142334,10.7948,-0.00045786827,11.463422,-0.11427175998687744,480,983040,2334.0807831050006,983040
993.34,509.08965414,276,0.013709294,0.19763184,10.74408,0.00051547633,10.765037,0.1680988073348999,500,1024000,2473.87457403,1024000
997.93,503.20782417000004,295,0.009755217,0.14855957,10.690241,0.00032108626,10.560329,-0.036591529846191406,520,1064960,2613.9812601190006,1064960
997.93,512.5146403399999,293,0.014119951,0.17150879,10.693096,0.004568819,28.393915,0.31609392166137695,540,1105920,2753.1255212720007,1105920
1000.0,502.4774327900001,424,0.004640136,0.049926758,10.66967,-0.0009284518,11.005033,0.014850497245788574,560,1146880,2860.4166362840006,1146880
1000.0,503.46290194,294,0.007246069,0.09753418,10.635854,0.00011223066,12.966587,-0.13403725624084473,580,1187840,2959.503852488,1187840
973.64,482.59665082,296,0.015693633,0.22619629,10.604117,-0.0013050027,10.676925,0.057252347469329834,600,1228800,3100.383634476,1228800
973.64,461.0972942899999,289,0.014938973,0.21728516,10.564124,-0.0024412735,10.13002,0.018442094326019287,620,1269760,3228.252770496001,1269760
979.58,443.8133401099999,279,0.012412813,0.14978027,10.495149,0.003786058,19.518398,0.44456708431243896,640,1310720,3368.9187029290006,1310720
998.88,467.19809153,280,0.010140039,0.1529541,10.484809,-6.9903355e-05,10.6324835,-0.028658628463745117,660,1351680,3513.203064700001,1351680
998.88,486.7881748499999,303,0.015365025,0.23352051,10.4489765,0.00092986313,14.459964,0.021402180194854736,680,1392640,3640.2766289730007,1392640
1000.0,502.84443590999996,318,0.0063709,0.07922363,10.399319,-0.00200328,12.711743,0.017114758491516113,700,1433600,3765.2618544410016,1433600
1000.0,465.09439891,333,0.012445932,0.17626953,10.398863,-0.00041444926,11.745804,0.010322034358978271,720,1474560,3888.7291482790006,1474560
997.14,389.87561134,329,0.015633503,0.2166748,10.404688,0.0005758842,7.876936,0.10827058553695679,740,1515520,4014.0462157230013,1515520
962.37,332.71796497,328,0.007910456,0.11706543,10.468488,-0.0019394209,8.776064,0.07050055265426636,760,1556480,4137.516519523,1556480
906.46,274.64356888,328,0.0063257935,0.083740234,10.407279,-0.0019689337,4.9722238,0.02138662338256836,780,1597440,4261.810686498,1597440
875.71,246.65669859999997,323,0.005231779,0.068237305,10.344568,-0.0011873052,8.398702,0.0012077093124389648,800,1638400,4387.291625209,1638400
909.14,269.15216244999993,332,0.012032063,0.17114258,10.330007,-0.0021084715,7.34101,0.008232712745666504,820,1679360,4515.881609280001,1679360
978.96,322.05802965999993,335,0.0055947234,0.07104492,10.286403,-0.0015747035,7.368705,-0.0388563871383667,840,1720320,4638.287120103001,1720320
976.97,346.20154653,330,0.006701521,0.087402344,10.253998,-0.0017565128,9.9559765,-0.02465510368347168,860,1761280,4761.154452584,1761280
966.5,415.11129467,341,0.010672422,0.16149902,10.246173,-0.0014129143,10.638232,-0.03408980369567871,880,1802240,4881.572170791002,1802240
976.75,472.3551081900001,332,0.005447711,0.068237305,10.189157,0.0009219652,11.811657,-0.033246517181396484,900,1843200,5001.891020024001,1843200
994.71,484.48933077999993,320,0.006935339,0.095336914,10.138963,-0.001252238,10.405935,-0.027809619903564453,920,1884160,5126.101534712001,1884160
994.71,458.77712691999994,338,0.01642451,0.23742676,10.09949,-0.0027462437,9.956678,0.0914716124534607,940,1925120,5253.915123280001,1925120
985.04,466.32016787999993,334,0.013531558,0.20532227,10.039583,-0.0015546283,13.471411,0.012746453285217285,960,1966080,5379.642152245,1966080
