# {"t_start": 1574707751.4640615, "env_id": "AntBulletEnv-v0"} 
r,l,t
372.004749,1000,3.558815
436.37012,1000,6.132233
478.085171,1000,9.624705
482.442072,1000,12.188293
432.125006,1000,14.990489
326.609353,1000,17.686019
440.915572,1000,20.440587
440.348478,1000,23.033122
460.253483,1000,25.774061
464.845789,1000,28.429945
460.135622,1000,31.346382
474.216563,1000,34.062073
470.963765,1000,36.70986
462.71362,1000,39.64796
436.911371,1000,43.429395
333.831941,1000,47.011469
437.893766,1000,50.73297
453.319026,1000,54.099186
472.32046,1000,57.916634
414.093731,1000,61.494303
458.015491,1000,65.443907
442.473718,1000,69.030339
466.268572,1000,72.852871
444.23092,1000,76.573946
451.518315,1000,81.758182
192.831458,384,84.254858
437.51434,1000,90.951224
463.095414,1000,97.877769
425.873242,1000,104.61636
388.517538,1000,111.556611
429.435867,1000,118.268362
415.641776,1000,125.150136
157.650538,318,127.32203
432.82612,1000,134.023782
459.177259,1000,140.11112
470.460693,1000,143.834029
451.093058,1000,147.681625
477.846162,1000,152.911389
451.133817,1000,157.124086
492.744664,1000,160.864413
465.517028,1000,164.739291
487.582198,1000,168.467467
492.248577,1000,172.710344
394.622367,829,175.743606
130.501851,277,176.812004
453.036138,1000,181.119819
456.659408,1000,186.873897
442.188073,1000,191.117255
465.799471,1000,194.803175
445.656301,1000,198.843633
458.454322,1000,204.659573
465.337717,1000,209.166767
441.857308,1000,212.812319
246.101481,523,214.901321
437.754658,1000,219.022783
115.642473,220,219.779602
457.760785,1000,223.556881
136.232583,307,224.656683
478.258334,1000,228.775937
478.956352,1000,233.55059
381.040521,802,236.508574
502.410907,1000,240.704398
210.095151,420,242.236923
392.567156,1000,245.795055
478.33765,1000,250.641989
464.107081,1000,256.293738
482.514527,1000,260.884243
468.934846,1000,264.543721
306.59166,609,267.175127
503.695627,1000,270.860918
497.5836,1000,274.691595
412.212535,1000,278.449205
472.939727,1000,282.232384
55.016227,116,282.637516
419.384725,1000,286.225925
481.168967,1000,290.0588
430.568327,1000,293.759614
478.940433,1000,297.649543
118.3616,244,298.549912
504.119459,1000,303.870566
237.260344,466,306.109903
503.387453,1000,309.912568
160.998619,391,311.31418
41.08809,76,311.578813
486.132336,1000,315.384948
501.792977,1000,319.34392
498.758037,1000,324.075189
391.858551,1000,327.629397
524.713877,1000,332.990872
