eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,404.1874345,323,0.00037513435,0.00024414062,11.349272,-0.0011972492,23.289331,-0.04559910297393799,1,2048,6.326148094027303,2048
969.0952380952381,431.2344725238095,253,0.0015159303,0.0045166016,11.293789,-0.00028121917,20.439444,-0.18023943901062012,20,40960,169.05242727103177,40960
899.8,410.9645042111111,239,0.0042826813,0.04345703,11.266464,-0.0015409143,13.608324,-0.03241002559661865,40,81920,340.320500086993,81920
804.12,376.21243264000003,200,0.0068358146,0.095336914,11.236663,-0.002110626,13.308821,-0.04584693908691406,60,122880,512.8070918209851,122880
758.98,349.641602,270,0.0087736435,0.11975098,11.207602,-0.0029914556,8.884352,0.3666124939918518,80,163840,690.8868329930119,163840
714.59,314.14213583,149,0.005463878,0.06323242,11.195461,-0.0016359086,12.505207,0.1265164613723755,100,204800,871.425590623985,204800
696.93,286.53239126,217,0.0073824925,0.104003906,11.168981,0.00049289403,6.3838577,0.042794883251190186,120,245760,1114.0040647950373,245760
697.89,291.95518467,218,0.0060484395,0.07092285,11.123668,-0.0008910495,7.7288103,0.5707940757274628,140,286720,1301.9472152619855,286720
841.4,352.1278995,219,0.005333148,0.061401367,11.099864,-0.00070036243,8.147145,0.5167944133281708,160,327680,1489.6222024160088,327680
935.42,396.91622150999996,218,0.0056115934,0.07434082,11.065544,-0.0009509077,13.465523,0.26920419931411743,180,368640,1677.0819529980072,368640
908.16,411.66372971000004,219,0.009271328,0.1381836,11.056173,0.0007123163,15.537547,0.017908811569213867,200,409600,1864.532186831988,409600
889.57,410.89062297000004,218,0.0075510624,0.10656738,11.031486,-0.0011954785,9.554979,0.23143655061721802,220,450560,2051.9409023179905,450560
915.41,414.18478235000003,216,0.007575729,0.099243164,11.024071,0.0005785472,13.309076,0.18715232610702515,240,491520,2239.6310626750346,491520
924.87,422.23256065999993,216,0.0058570085,0.076538086,11.012161,-0.000986086,11.760971,0.33918237686157227,260,532480,2427.4045662510325,532480
957.13,452.20103895,218,0.005665847,0.068237305,10.972331,0.0009861051,17.408693,-0.0346219539642334,280,573440,2615.059573478007,573440
964.62,462.7635542400001,202,0.006893008,0.09240723,10.958219,0.0006367077,11.221962,0.40130436420440674,300,614400,2813.8239879600005,614400
972.57,465.37919122,219,0.013473529,0.20043945,10.9271965,-0.0013246234,15.113069,0.18826204538345337,320,655360,3007.251613230037,655360
960.53,446.23925853000003,217,0.012668181,0.18664551,10.888174,0.001123241,14.792263,0.38080114126205444,340,696320,3194.522092220024,696320
974.48,457.32451273000004,218,0.007273512,0.10192871,10.865725,-0.0013822641,11.805515,0.3628399968147278,360,737280,3381.745948965021,737280
989.59,469.73678831999996,217,0.007895268,0.10644531,10.859982,0.0010967884,12.331228,0.4310210943222046,380,778240,3569.4462125300197,778240
976.87,477.89960685,217,0.010484733,0.1451416,10.863257,-0.002001068,11.672392,0.3358631134033203,400,819200,3756.4318660270073,819200
967.49,473.45845173999993,221,0.0070320666,0.096191406,10.754064,-0.00014687161,11.697309,0.29155004024505615,420,860160,3943.1625267860363,860160
966.69,475.48711263999996,218,0.0075305686,0.103759766,10.692949,-6.568362e-05,9.440113,0.43194472789764404,440,901120,4130.361859743018,901120
983.29,488.76944993999996,218,0.009180375,0.12548828,10.682168,-0.0011644377,13.928847,0.22476208209991455,460,942080,4317.189649496984,942080
