# {"t_start": 1575660103.3593931, "env_id": "AntBulletEnv-v0"} 
r,l,t
481.069886,1000,3.017993
130.098376,282,3.653681
163.329675,372,4.650321
436.323797,1000,7.752594
478.049555,1000,9.975102
451.127372,1000,12.601168
272.249695,1000,14.938234
421.56569,1000,17.456772
486.517841,1000,19.873499
397.000255,1000,22.361357
457.148509,1000,24.649283
470.110323,1000,26.994633
473.721843,1000,29.376855
340.070183,714,31.077138
492.9303,1000,33.321592
510.975836,1000,35.716622
516.127199,1000,37.953078
497.290317,1000,40.219861
539.746558,1000,42.579742
442.925808,1000,44.803223
452.289966,1000,47.214382
481.919611,1000,49.438244
426.537641,1000,51.766845
463.79198,1000,54.171865
464.552493,1000,56.516239
493.756853,1000,58.83162
492.314597,1000,61.130052
436.832801,1000,63.363753
447.769735,1000,65.731834
549.542613,1000,67.981511
434.103654,1000,70.332099
550.318262,1000,72.599619
539.066425,1000,74.894255
475.752044,1000,77.197806
527.144818,1000,79.50489
546.399647,1000,81.750657
553.019093,1000,84.147949
557.370133,1000,86.365957
490.092435,1000,88.77337
515.754453,1000,90.979163
443.622672,1000,93.278545
465.92455,1000,95.56427
375.686583,1000,97.918656
476.490362,1000,100.207308
412.465661,1000,102.600639
493.313269,1000,104.841654
433.978844,1000,107.206438
397.358788,1000,109.404922
413.943367,1000,111.757678
390.907963,1000,114.109774
509.334879,1000,116.436085
371.130168,1000,118.728864
322.266039,608,120.069581
382.161992,1000,122.409164
369.387864,1000,124.761276
370.055653,1000,127.040027
368.958313,1000,129.27015
401.089444,1000,131.701488
416.5205,1000,133.96203
428.76731,1000,136.344339
551.154096,1000,138.611971
411.012309,1000,140.911707
414.266183,1000,143.196442
398.431485,1000,145.529989
405.329647,1000,147.776674
485.202655,1000,150.17389
287.264819,1000,152.458752
290.037027,1000,154.886184
382.707497,1000,157.137106
321.918489,1000,159.465423
529.693343,1000,161.815573
221.520133,1000,164.172149
397.889951,1000,166.455432
282.179192,1000,168.878053
525.294076,1000,171.099724
580.754287,1000,173.521561
452.447157,1000,175.737134
525.71379,1000,178.02509
528.262956,1000,180.314188
512.273359,1000,182.628881
475.615107,1000,184.976501
384.718392,1000,187.286925
468.54608,1000,189.528539
346.491652,1000,191.984075
429.183501,1000,194.25367
352.970169,1000,196.767231
538.727545,1000,198.983524
408.919616,1000,201.182662
494.459205,1000,203.566406
441.637674,1000,205.829628
407.348889,1000,208.223527
405.731835,1000,210.482669
384.359762,1000,212.828678
395.968972,1000,215.158655
509.694117,1000,217.461196
478.270759,1000,219.684067
501.72492,1000,222.068504
462.025403,1000,224.285891
470.246399,1000,226.662891
484.509013,1000,228.895269
549.500734,1000,231.24527
462.135994,1000,233.515616
372.079515,1000,235.869388
522.423325,1000,238.148256
470.554791,1000,240.491546
523.651974,1000,242.710922
520.382865,1000,245.133385
415.052293,1000,247.348537
543.340831,1000,249.660548
518.504622,1000,251.981797
589.759943,1000,254.31908
403.14462,1000,256.675603
506.15084,1000,258.918961
567.075461,1000,261.122012
487.403078,1000,263.520847
528.014724,1000,265.767913
439.235222,1000,268.093279
409.260193,1000,270.39246
562.336326,1000,272.691549
375.718441,1000,275.022589
353.004378,1000,277.334277
394.670066,1000,279.527879
515.619646,1000,281.932702
494.389337,1000,284.145208
353.580975,1000,286.557041
516.943442,1000,288.882408
478.325453,1000,291.283714
536.089949,1000,293.602386
405.934055,1000,295.826623
533.133733,1000,298.220343
501.186052,1000,300.528716
408.836773,1000,302.85016
465.70104,1000,305.187087
422.914863,1000,307.540426
391.672653,1000,309.785393
397.7548,1000,312.159939
121.922572,164,312.521072
440.880573,1000,314.765906
464.885247,1000,317.20212
518.810527,1000,319.513613
379.966847,1000,321.84681
434.785937,1000,324.199115
527.813962,1000,326.598862
481.528141,1000,329.028656
416.201257,1000,331.397116
474.778605,1000,333.643081
437.195753,1000,336.102847
448.195512,1000,338.491095
406.713235,1000,340.866778
405.972105,1000,343.141024
416.347501,1000,345.465773
469.758677,1000,347.741928
490.011543,1000,350.052391
452.343181,1000,352.345182
478.143694,1000,354.661582
447.09724,1000,356.898539
381.784181,1000,359.321898
361.772,1000,361.545426
494.083209,1000,363.884
479.91395,1000,366.183937
433.953126,1000,368.478201
405.213012,1000,370.813856
474.639369,1000,373.115227
429.797219,1000,375.334075
367.995619,1000,377.769542
547.933398,1000,380.014252
404.019715,1000,382.407709
472.901514,1000,384.643677
394.580656,1000,387.019987
382.503635,1000,389.332502
451.411617,1000,391.63402
453.952183,1000,393.873832
407.229269,1000,396.314746
434.708223,1000,398.54162
396.217258,1000,400.956237
421.271701,1000,403.142448
588.311348,1000,405.492249
445.056211,1000,407.772966
481.432643,1000,410.105167
388.117777,1000,412.389076
376.754748,1000,414.694945
352.661917,1000,417.012718
479.18451,1000,419.305983
477.917374,1000,421.619597
440.458343,1000,423.856478
398.530578,1000,426.264475
379.321332,1000,428.481864
430.557733,1000,430.869782
443.736328,1000,433.061702
462.582245,1000,435.397546
490.239837,1000,437.705197
431.103024,1000,440.063584
413.565753,1000,442.370844
450.783478,1000,444.705104
497.039397,1000,446.938561
415.095048,1000,449.365536
418.905031,1000,451.60248
388.885165,1000,453.943966
401.534951,1000,456.256603
395.027363,1000,458.57344
495.143216,1000,460.898182
387.666458,1000,463.178207
459.584406,1000,465.441652
430.137495,1000,467.868399
441.777354,1000,470.103092
517.598674,1000,472.484396
473.08294,1000,474.777906
420.25466,1000,477.11867
386.817324,1000,479.449358
454.690115,1000,481.811882
433.358886,1000,484.043763
385.052195,1000,486.467388
442.095561,1000,488.749456
475.052298,1000,491.160552
480.681166,1000,493.432143
402.010801,1000,495.764952
500.062672,1000,498.088935
314.615957,1000,500.455557
394.652683,1000,502.815156
436.109687,1000,505.115624
388.882463,1000,507.379255
439.421286,1000,509.806163
467.487921,1000,512.0746
402.866715,1000,514.8507
442.14328,1000,518.269339
388.38348,1000,520.989284
449.991909,1000,523.50337
418.71589,1000,525.721279
491.913989,1000,528.657156
545.917015,1000,530.938221
432.584095,1000,533.967135
392.583027,1000,536.257481
392.449435,1000,539.194186
388.2605,1000,541.675283
382.142203,1000,544.407311
400.190489,1000,547.410684
442.354992,1000,549.789567
402.491884,1000,552.997367
389.613722,1000,555.376169
406.98843,1000,558.423524
385.025955,1000,560.758671
370.650198,1000,563.590756
439.339001,1000,566.085007
360.648127,1000,568.69299
429.884519,1000,571.751521
429.611446,1000,573.971028
340.298988,1000,577.117569
355.841006,1000,579.508615
360.387723,1000,582.821037
406.629293,1000,585.098309
478.385854,1000,588.085695
422.409245,1000,590.535069
387.628491,1000,593.441242
365.583716,1000,595.892928
398.029958,1000,599.224808
393.259511,1000,601.754057
361.419514,1000,604.423234
404.133765,1000,607.216462
391.817049,1000,609.66964
412.272176,1000,612.862255
426.232547,1000,615.325247
334.646266,1000,618.076936
388.276867,1000,620.607023
396.529005,1000,623.621799
366.815791,1000,626.044031
467.793947,1000,628.909954
371.921899,1000,631.590759
370.426794,1000,634.375656
413.735593,1000,637.174735
373.239012,1000,639.684845
374.931669,1000,656.667477
387.501423,1000,681.811092
380.492877,1000,685.45625
436.81109,1000,689.885366
412.319036,1000,695.262782
417.39073,1000,714.133886
403.073589,1000,748.759209
337.927898,1000,768.245937
423.617049,1000,777.378705
316.112098,1000,781.259693
425.511177,1000,786.141387
355.416364,1000,792.185236
378.10413,1000,797.36719
401.17105,1000,801.754122
452.097168,1000,806.51902
466.073254,1000,813.934494
362.75432,1000,816.873831
443.145974,1000,819.47159
392.529917,1000,822.566428
378.55551,1000,827.839383
424.220384,1000,831.41385
347.289408,1000,838.058871
423.466573,1000,848.81998
473.498522,1000,854.667323
418.798877,1000,861.619766
456.040852,1000,866.926821
423.046135,1000,873.391619
392.301829,1000,879.342415
435.536455,1000,885.657661
399.848636,1000,893.626929
448.908477,1000,901.489144
387.649237,1000,912.731323
394.619281,1000,924.313197
461.939627,1000,929.150595
460.40563,1000,934.130745
385.111422,1000,940.146693
403.617691,1000,946.862105
460.689948,1000,953.478951
451.441684,1000,961.686968
459.351732,1000,968.543828
490.071358,1000,979.367618
437.483267,1000,985.568974
417.236112,1000,991.151984
400.845004,1000,995.535758
385.328686,1000,1002.00254
418.847918,1000,1008.011057
475.639115,1000,1015.458813
490.126337,1000,1022.558956
403.781343,1000,1028.722017
464.506985,1000,1033.283398
485.991505,1000,1036.23277
492.925547,1000,1038.839262
480.319527,1000,1041.415781
438.376179,1000,1044.462825
456.140318,1000,1046.829337
499.983822,1000,1049.87938
479.245519,1000,1052.344265
395.653565,1000,1055.559098
399.080903,1000,1058.163482
501.277886,1000,1060.624311
427.62383,1000,1063.720921
527.953429,1000,1066.132966
454.721841,1000,1069.426949
466.746349,1000,1071.728269
455.960901,1000,1077.612353
447.024762,1000,1080.718936
458.160496,1000,1089.322068
438.361965,1000,1103.833866
477.396376,1000,1117.125992
471.441726,1000,1125.074542
415.891639,1000,1137.562618
464.147794,1000,1144.089565
407.951298,1000,1167.90484
531.164088,1000,1179.927838
551.117711,1000,1187.431994
418.419411,1000,1195.111596
506.147094,1000,1205.187067
421.975866,1000,1211.326857
455.651894,1000,1220.838869
474.825768,1000,1228.716865
252.475505,1000,1235.089183
364.79734,1000,1246.83515
438.730951,1000,1255.983175
475.567983,1000,1259.400949
384.297886,1000,1261.932884
492.788517,1000,1267.8918
422.538558,1000,1274.086855
480.028593,1000,1280.779118
269.962095,1000,1287.346938
446.907524,1000,1294.325828
470.327074,1000,1306.928826
460.89437,1000,1315.294331
467.427371,1000,1321.67487
460.567546,1000,1328.603234
515.991235,1000,1335.833725
526.723232,1000,1343.50291
471.009254,1000,1351.023194
464.298043,1000,1363.800879
374.839458,1000,1370.377565
308.344239,1000,1377.435436
475.519765,1000,1383.524835
535.715111,1000,1391.554812
528.954508,1000,1398.09343
480.501056,1000,1405.111004
476.786525,1000,1412.658897
479.873967,1000,1421.29736
489.402226,1000,1428.341933
548.945187,1000,1435.075462
490.407036,1000,1443.34702
463.999831,1000,1450.809131
471.381985,1000,1455.366781
417.631886,1000,1460.146112
420.671503,1000,1464.774213
388.446634,1000,1469.633197
442.455174,1000,1474.518852
523.576873,1000,1477.92558
472.53208,1000,1480.635266
590.847168,1000,1486.148189
546.570198,1000,1491.072878
471.370553,1000,1495.959684
392.15548,1000,1500.550922
452.985688,1000,1505.5909
424.364605,1000,1510.214425
418.637996,1000,1514.886917
510.271355,1000,1520.035005
446.117225,1000,1524.818904
494.255851,1000,1529.753023
498.885698,1000,1534.750353
418.748987,1000,1539.749822
420.338329,1000,1544.78316
458.656659,1000,1549.728818
527.710596,1000,1554.498938
467.694066,1000,1559.55871
559.06771,1000,1564.234808
487.351633,1000,1569.089185
582.195597,1000,1573.856122
451.037355,1000,1579.034964
504.678424,1000,1583.739062
551.195994,1000,1588.551124
429.067089,1000,1593.535186
414.207863,1000,1598.661314
478.629637,1000,1603.604065
442.929257,1000,1608.674882
509.282743,1000,1613.651012
487.878502,1000,1618.455047
503.000838,1000,1623.280761
533.495094,1000,1628.257023
522.863752,1000,1632.838099
518.341082,1000,1638.030927
422.307436,1000,1642.845737
514.825084,1000,1647.831033
454.406356,1000,1652.561115
466.127267,1000,1657.66694
420.847511,1000,1662.410902
506.402329,1000,1667.458997
460.065219,1000,1672.210047
486.826803,1000,1677.045333
508.863333,1000,1679.333966
480.994383,1000,1681.797876
367.132758,1000,1685.984462
481.780182,1000,1690.882891
503.97255,1000,1695.442342
416.446755,1000,1700.28347
436.699535,1000,1705.014711
407.444401,1000,1710.077623
476.879985,1000,1714.773849
450.804237,1000,1719.453396
485.464644,1000,1724.138998
479.584191,1000,1728.581526
411.789377,1000,1733.618775
478.605529,1000,1738.18374
379.813964,1000,1742.699088
514.175156,1000,1747.426897
432.108,1000,1752.271291
435.656112,1000,1756.852795
455.48552,1000,1761.64802
447.118477,1000,1766.294864
463.721714,1000,1771.08569
567.258594,1000,1775.82771
490.457804,1000,1780.437459
427.431719,1000,1784.986941
508.87679,1000,1789.763899
453.322251,1000,1794.278037
382.143255,1000,1799.006221
418.03058,1000,1803.725992
519.549486,1000,1808.482908
480.489928,1000,1813.128208
435.067718,1000,1817.841854
520.512402,1000,1822.428252
520.452287,1000,1827.2535
441.283349,1000,1832.01502
444.515716,1000,1836.706869
450.848374,1000,1841.281248
399.495052,1000,1846.157105
401.631523,1000,1850.699091
271.008723,1000,1855.603023
532.107458,1000,1860.252264
433.557034,1000,1865.126966
526.920794,1000,1869.802952
563.240182,1000,1874.526697
454.226944,1000,1879.350982
457.205181,1000,1884.278872
434.64499,1000,1888.937204
250.070814,1000,1893.878975
287.21011,1000,1898.348688
270.370743,1000,1903.316944
435.178374,1000,1907.965071
384.651504,1000,1911.706193
501.867259,1000,1914.9609
296.770288,1000,1920.390059
384.662375,1000,1925.377106
382.910177,1000,1930.452943
481.05542,1000,1935.491853
458.996756,1000,1940.183031
478.08018,1000,1945.313485
481.20884,1000,1950.22693
488.233311,1000,1955.205508
378.334319,1000,1959.983213
389.98474,1000,1964.763607
425.538147,1000,1969.765672
440.924018,1000,1974.715538
502.959202,1000,1979.495512
507.671986,1000,1984.224494
378.353165,1000,1989.099613
378.746015,1000,1994.077706
426.222738,1000,1998.883013
509.641863,1000,2004.082834
433.554373,1000,2008.859654
545.082304,1000,2014.086982
505.333431,1000,2018.910751
416.513047,1000,2023.851204
517.800578,1000,2028.702891
501.365117,1000,2033.778208
499.215906,1000,2038.52012
390.802635,1000,2043.458914
497.510892,1000,2047.963017
511.762118,1000,2053.005374
410.201245,1000,2057.782814
384.723971,1000,2062.49754
476.057855,1000,2067.358914
519.941039,1000,2072.492118
494.997431,1000,2077.334723
384.50822,1000,2082.428359
449.192101,1000,2087.114996
550.074528,1000,2092.133561
350.392932,1000,2096.902324
434.459948,1000,2101.781831
460.806152,1000,2106.495768
524.559487,1000,2111.488047
406.179375,1000,2116.126777
572.323738,1000,2120.987586
484.499641,1000,2124.523693
509.806527,1000,2127.038399
508.344427,1000,2131.878768
439.464718,1000,2136.822301
463.375003,1000,2141.763105
190.36724,355,2143.488581
503.274596,1000,2148.334072
469.611104,1000,2152.986984
411.331196,1000,2157.579609
470.540791,1000,2162.087063
360.252985,1000,2166.920548
553.218592,1000,2171.42731
245.392409,1000,2176.326064
448.889159,1000,2181.133543
493.267859,1000,2186.013197
473.291519,1000,2190.693364
438.324938,1000,2195.460212
478.235533,1000,2200.267622
340.306085,1000,2204.830537
407.617673,1000,2209.579033
496.32297,1000,2214.427086
267.359805,1000,2219.191079
522.429173,1000,2223.880808
266.143242,1000,2228.915113
537.864938,1000,2233.647005
500.891837,1000,2238.349851
300.368869,1000,2242.971613
386.909801,1000,2247.895062
244.664243,1000,2252.3847
463.133891,1000,2257.113976
419.30087,1000,2261.926835
544.200314,1000,2266.784198
285.72496,1000,2271.687077
475.949524,1000,2276.740693
437.56624,1000,2281.503091
517.30467,1000,2286.219583
401.733834,1000,2290.604137
308.474528,1000,2295.528119
457.616143,1000,2300.058997
439.894767,1000,2304.677377
444.834072,1000,2309.54689
465.330736,1000,2314.237164
386.02459,1000,2319.128296
408.051039,1000,2323.95805
405.241354,1000,2328.619022
427.221422,1000,2333.391454
446.973723,1000,2338.112899
449.85231,1000,2343.039444
429.319451,1000,2347.638015
501.454564,1000,2352.683007
392.945734,1000,2357.56442
467.171527,1000,2362.542717
