eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
551.3333333333334,258.16597900000005,352,0.00043737603,0.0,11.35038,-0.0024262327,27.878012,-0.07134401798248291,1,2048,5.806165649089962,2048
961.1428571428571,458.7203689047619,434,0.0041460004,0.045288086,11.31351,-0.0011088887,16.88532,-0.01667606830596924,20,40960,96.4384771650657,40960
975.6144578313254,438.9434279879518,427,0.0058565126,0.07946777,11.271869,-0.001178287,10.832266,-0.26770925521850586,40,81920,191.30347700812854,81920
996.08,451.85064957000003,434,0.0048697805,0.056884766,11.2254925,-0.0014488406,9.450304,-0.16518032550811768,60,122880,285.77076945919544,122880
991.64,447.05025285000005,436,0.007881576,0.1126709,11.210635,-0.001617704,10.141392,-0.4562695026397705,80,163840,381.12211058917455,163840
991.64,444.75779449000004,427,0.008946515,0.13635254,11.193017,0.00073644955,7.9596,0.10943251848220825,100,204800,475.7993479222059,204800
1000.0,429.16196677000005,356,0.007599387,0.11047363,11.134198,-0.0004999087,5.771669,0.29552197456359863,120,245760,581.3119303800631,245760
1000.0,413.30442633999996,341,0.008862086,0.13366699,11.13043,-0.0013364308,8.589852,0.5160008668899536,140,286720,823.6544400891289,286720
1000.0,412.98711652,355,0.012597859,0.18200684,11.120821,-0.002615051,7.168779,0.5269784927368164,160,327680,1062.125072820112,327680
1000.0,433.87968727,152,0.009134125,0.13513184,11.120967,-0.0018027558,12.836485,0.28383487462997437,180,368640,1385.5735874820966,368640
1000.0,460.10350386,195,0.008460737,0.12451172,11.120944,-0.0005792226,10.630234,0.27606600522994995,200,409600,1605.5602779751644,409600
1000.0,468.07843314999997,214,0.006988857,0.09338379,11.0795555,-0.0008952804,9.782005,0.43011200428009033,220,450560,1795.8575921291485,450560
1000.0,456.03560006,203,0.013498898,0.1875,11.046527,-0.00071782974,13.021347,0.2165049910545349,240,491520,1990.469628087012,491520
993.55,446.6085419499999,207,0.00734708,0.10241699,11.071882,-0.0011159668,13.101239,0.3013573884963989,260,532480,2185.357599103125,532480
993.55,439.1667316,190,0.0052301544,0.05883789,11.0805645,0.000771575,9.78109,0.29312795400619507,280,573440,2380.061592840124,573440
993.55,450.8844973000001,199,0.0092746,0.13745117,11.07407,-0.0052594794,8.30452,0.6980842351913452,300,614400,2580.9336024341173,614400
995.98,441.301141,210,0.007193173,0.09863281,11.037386,-0.00039858132,8.556965,0.7107684016227722,320,655360,2773.251831674017,655360
995.98,458.35861986000003,200,0.009021312,0.13293457,11.004653,-0.003634281,10.260404,0.5132960379123688,340,696320,2971.3216226180084,696320
1000.0,482.40239915,209,0.011648005,0.17553711,10.976102,0.00023991108,12.371665,0.25949740409851074,360,737280,3165.472112673102,737280
1000.0,494.85707299999996,196,0.0100863995,0.1430664,10.976388,-0.0031554552,12.560547,0.2735775113105774,380,778240,3360.3696074329782,778240
1000.0,501.55936235,204,0.011807722,0.17980957,10.977519,0.0026472935,11.559894,0.4767131805419922,400,819200,3559.6536038790364,819200
1000.0,512.7673446800001,202,0.007010567,0.095458984,10.939482,-0.0012403579,12.450206,0.4646110534667969,420,860160,3760.7955964060966,860160
1000.0,511.13640429,195,0.008373289,0.11743164,10.915569,-8.127821e-05,11.916208,0.6973278522491455,440,901120,3966.3541261870414,901120
1000.0,507.81993821000003,201,0.010506495,0.15551758,10.836663,-0.0013747439,12.609639,0.5647512972354889,460,942080,4163.61360055604,942080
1000.0,524.3157487200001,199,0.008361388,0.123046875,10.803931,0.0009014738,15.373371,0.031266987323760986,480,983040,4367.250131814042,983040
1000.0,535.6783012999999,210,0.0075649284,0.10827637,10.7767,-0.0009411925,10.202375,0.6240108907222748,500,1024000,4567.173612963175,1024000
1000.0,532.17839266,201,0.010792979,0.16223145,10.69938,-0.0020372716,12.615009,0.41209840774536133,520,1064960,4764.9976496321615,1064960
1000.0,546.07244554,206,0.0097755175,0.1385498,10.652046,-0.0028717606,17.063509,0.07216697931289673,540,1105920,4967.449420010205,1105920
1000.0,554.00140229,199,0.014765317,0.21130371,10.626966,-9.454813e-05,10.950884,0.4681723117828369,560,1146880,5164.505602681078,1146880
1000.0,545.64256562,203,0.011161826,0.1697998,10.644143,-0.0010516851,12.2198515,0.451682984828949,580,1187840,5367.2197693220805,1187840
1000.0,546.1356343399999,212,0.010365555,0.15234375,10.575782,-0.0019527266,11.223644,0.36761564016342163,600,1228800,5562.685053016059,1228800
1000.0,542.9113890699999,206,0.013521161,0.1998291,10.522957,-0.0035661943,11.01945,0.4772030711174011,620,1269760,5760.047392816981,1269760
1000.0,555.97886436,206,0.015663706,0.22949219,10.486956,-0.0028895068,11.657388,0.4800384044647217,640,1310720,5959.210651337169,1310720
1000.0,567.0801964699999,201,0.007462943,0.10437012,10.397309,0.00058676046,15.793498,0.5639518201351166,660,1351680,6156.205106724985,1351680
1000.0,571.68598188,200,0.010145982,0.15197754,10.343715,-0.0007551444,14.6536045,0.30148112773895264,680,1392640,6359.401970611187,1392640
1000.0,577.5918922599999,203,0.010322154,0.15270996,10.224452,-0.00016624836,11.20862,0.5761697888374329,700,1433600,6558.241648765979,1433600
1000.0,589.3215166199999,198,0.009826231,0.14318848,10.172455,-0.0032691676,10.1594925,0.7468984723091125,720,1474560,6763.761608144036,1474560
1000.0,608.07340636,201,0.008587313,0.12438965,10.169128,-0.0013772296,15.536336,0.40111976861953735,740,1515520,6966.8737969012,1515520
1000.0,611.5472430100001,187,0.009348383,0.13317871,10.152987,-0.0005550034,18.009987,0.171347975730896,760,1556480,7168.54170801607,1556480
1000.0,615.43367043,203,0.009729413,0.14685059,10.089619,-0.0025990475,17.37891,0.27056223154067993,780,1597440,7375.545622303151,1597440
1000.0,602.31790361,198,0.018266901,0.22180176,10.054251,0.0017363873,13.471279,0.7072160243988037,800,1638400,7575.473576862132,1638400
1000.0,605.4635941600001,201,0.011837774,0.17211914,9.997931,0.0015590496,14.068365,0.46203386783599854,820,1679360,7780.791071071988,1679360
1000.0,619.4538140400001,200,0.013558722,0.19421387,9.938903,-0.0013533474,14.853951,0.32198864221572876,840,1720320,7982.6011267930735,1720320
1000.0,606.80987191,194,0.011999033,0.17456055,9.903854,-0.0020436686,16.54306,0.6126507818698883,860,1761280,8186.229599436047,1761280
1000.0,600.97594443,208,0.009481226,0.14697266,9.860361,-0.0002731798,19.24728,0.39006292819976807,880,1802240,8391.637608014978,1802240
1000.0,603.70992922,212,0.008684278,0.13012695,9.869237,-0.0011310813,12.552858,0.6357524693012238,900,1843200,8591.261828924995,1843200
1000.0,617.63179987,200,0.012659443,0.17797852,9.812199,0.003142924,19.915514,0.1387001872062683,920,1884160,8797.69360739505,1884160
1000.0,630.74695926,202,0.010613113,0.16052246,9.759719,0.0010787335,23.683971,0.45369023084640503,940,1925120,8999.1695832361,1925120
1000.0,636.8639381400001,190,0.013302952,0.19812012,9.722539,0.0017865044,14.84939,0.5257634520530701,960,1966080,9200.400112315081,1966080
1000.0,627.5979598800001,232,0.00504156,0.06665039,9.686528,-0.0010842761,17.395172,0.2167472243309021,980,2007040,9405.812588127097,2007040
1000.0,606.72682864,202,0.011980933,0.16467285,9.638359,-0.00020144417,14.899707,0.19946593046188354,1000,2048000,9608.540249475045,2048000
1000.0,599.82274892,192,0.02427899,0.30639648,9.599381,-0.0005560028,14.566517,0.4562550187110901,1020,2088960,9813.547946965089,2088960
1000.0,606.18971292,198,0.012698917,0.20031738,9.539783,-0.0016494086,14.272869,0.28967738151550293,1040,2129920,10016.517576154089,2129920
1000.0,625.76087076,207,0.007577655,0.107055664,9.524409,-0.00042308774,17.498093,0.2977285385131836,1060,2170880,10217.151462882059,2170880
1000.0,611.73827731,194,0.015584389,0.22839355,9.483617,-0.0023115817,12.602423,0.5088011622428894,1080,2211840,10425.984771155054,2211840
1000.0,577.6158091799999,200,0.0100373,0.15112305,9.506245,0.0008390625,13.713949,0.42785847187042236,1100,2252800,10626.449060064042,2252800
1000.0,563.3698138100001,202,0.016342254,0.21850586,9.483669,-0.0008362655,14.029143,0.3522830605506897,1120,2293760,10831.622925037052,2293760
1000.0,574.38715259,207,0.007363398,0.10046387,9.448651,-0.00036879146,10.127103,0.5617058575153351,1140,2334720,11035.277550584171,2334720
