# {"t_start": 1571430503.6782146, "env_id": "AntBulletEnv-v0"} 
r,l,t
359.768465,1000,3.366947
464.63395,1000,5.88851
396.136899,1000,8.929443
453.621533,1000,11.843781
486.163043,1000,15.268894
452.058269,1000,17.66448
447.864329,1000,20.071153
444.996637,1000,22.48303
238.399331,475,23.922625
465.736561,1000,26.320534
353.125146,1000,28.74849
462.734298,1000,31.155122
462.354092,1000,33.844404
466.154489,1000,36.253989
466.301506,1000,38.682456
446.28116,1000,41.075357
435.347957,1000,43.754053
460.607017,1000,46.152236
386.147818,1000,48.570112
467.077506,1000,50.986949
429.028095,1000,53.400736
482.397422,1000,56.04825
69.267052,170,56.457717
471.191866,1000,58.86846
471.666355,1000,61.277253
462.049174,1000,63.98925
445.622794,1000,66.389828
466.008038,1000,68.799742
498.517167,1000,71.240528
494.734837,1000,73.693455
