# {"t_start": 1574182950.5931973, "env_id": "AntBulletEnv-v0"} 
r,l,t
404.202947,1000,3.161864
468.308979,1000,5.551248
176.104553,454,7.518893
465.970654,1000,9.914962
496.824401,1000,12.403447
461.415266,1000,14.771454
393.699798,1000,17.281036
399.447733,1000,19.673172
475.592419,1000,22.209243
453.734691,1000,24.585139
353.87635,1000,27.092638
385.014046,1000,29.485382
437.457193,1000,31.981101
504.576639,1000,34.364513
423.021682,1000,36.947102
428.338236,1000,39.333575
475.16445,1000,41.834272
527.268387,1000,44.254671
500.331346,1000,46.774184
482.910807,1000,49.156766
524.335524,1000,51.548062
513.706069,1000,54.037372
512.187403,1000,56.409163
359.966453,1000,58.911268
551.312842,1000,61.329567
494.257645,1000,63.855276
526.288503,1000,66.230683
539.170998,1000,68.719775
551.63817,1000,71.084935
535.973038,1000,73.554001
536.687674,1000,75.932454
565.118491,1000,78.425602
474.878223,1000,80.784731
484.285286,1000,83.281589
477.57924,1000,85.644034
541.081567,1000,88.141166
522.608953,1000,90.495471
526.028031,1000,92.965312
517.333265,1000,95.310408
476.322921,1000,97.803517
551.042802,1000,100.157122
574.718331,1000,102.663935
546.202543,1000,105.025287
489.085053,1000,107.539553
525.316225,1000,109.914613
568.802498,1000,112.388735
543.230073,1000,114.741545
428.135333,1000,117.229232
542.511124,1000,119.573625
509.26037,1000,122.037731
485.473697,1000,124.41085
518.719615,1000,126.901061
539.521012,1000,129.253246
391.897234,1000,131.734566
517.673768,1000,134.071276
417.372042,1000,136.553088
415.368007,1000,138.901521
428.146735,1000,141.375395
554.410532,1000,143.75613
533.417308,1000,146.222998
420.206043,1000,148.589888
408.275819,1000,151.075886
463.075688,1000,153.430704
418.133564,1000,155.787678
441.611815,1000,158.266556
481.935576,1000,160.632459
504.790946,1000,163.116206
478.766279,1000,165.456296
496.209903,1000,167.952281
451.575066,1000,170.319671
447.45672,1000,172.796161
499.087892,1000,175.172631
506.765788,1000,177.645686
423.989896,1000,180.017005
442.652985,1000,182.498438
454.70628,1000,184.863432
514.877918,1000,187.381063
421.420746,1000,189.755059
437.513616,1000,192.278591
451.00988,1000,194.640365
555.077978,1000,197.14551
461.984823,1000,199.505574
528.931645,1000,202.011102
446.545487,1000,204.437341
522.117987,1000,206.927307
467.195738,1000,209.278674
420.9504,1000,211.76849
482.944982,1000,214.138232
536.475882,1000,216.634549
471.169013,1000,218.999123
473.007771,1000,221.482039
517.106221,1000,223.830467
534.29591,1000,226.29644
487.243869,1000,228.64004
410.799095,1000,231.126849
478.022319,1000,233.476927
519.964689,1000,235.952656
444.234017,1000,238.324246
