# {"t_start": 1574370545.4051628, "env_id": "AntBulletEnv-v0"} 
r,l,t
488.363445,1000,4.14465
455.081118,1000,6.980319
141.101125,327,8.889216
452.056537,1000,11.699963
249.581902,521,13.120239
478.324666,1000,16.101732
394.063337,1000,18.932766
408.962002,1000,21.922265
403.8656,1000,24.749711
452.698055,918,27.614058
301.12584,1000,30.388991
479.707928,1000,33.453346
483.801719,1000,36.475359
492.840103,1000,39.44888
381.11731,1000,42.270359
513.016778,1000,45.16382
409.762132,1000,48.102398
479.404252,1000,50.86119
481.225588,1000,53.696642
154.784741,324,54.550897
502.325246,1000,57.513527
465.87235,1000,60.361327
522.794077,1000,63.35356
465.470324,1000,66.210437
460.795055,1000,69.181389
520.266821,1000,71.943495
420.182909,1000,75.115115
312.898823,635,76.964755
414.810522,1000,79.946134
423.84021,1000,82.924073
495.904617,1000,85.918169
526.240483,1000,88.8304
552.683036,1000,91.827006
462.087083,1000,94.638423
582.45817,1000,97.337747
432.000336,1000,100.378411
518.164906,1000,103.268107
499.203329,1000,106.390027
438.297483,1000,109.522523
510.928351,1000,112.793638
553.895962,1000,115.801247
419.102908,1000,118.748118
493.477673,1000,121.578338
379.505224,1000,124.520886
480.181608,1000,127.306089
524.104581,1000,132.200521
438.085598,1000,138.475882
444.631625,1000,145.139839
464.147422,1000,151.388626
452.170725,1000,157.814265
523.681738,1000,164.133827
470.903095,1000,170.710724
403.867055,1000,176.991054
409.307529,1000,183.511363
394.777235,1000,189.76678
509.749546,1000,196.311914
476.112264,1000,202.560278
403.66543,1000,209.019321
541.425519,1000,215.226427
533.597402,1000,221.835631
526.420624,1000,228.211174
377.552464,1000,233.972266
434.179734,1000,237.863608
401.900926,1000,242.515638
526.431875,1000,248.824342
481.962323,1000,254.735108
409.786718,1000,258.669731
376.375616,857,263.343281
369.184132,1000,267.384248
543.683456,1000,272.01875
389.543363,1000,276.18868
472.159458,1000,280.299648
537.61216,1000,286.27256
407.328983,1000,292.464358
404.439528,1000,297.052513
520.643676,1000,301.927479
394.971598,1000,306.458381
571.165667,1000,310.900378
410.849997,1000,315.612333
404.769364,1000,319.542803
440.407763,1000,323.777367
450.622532,1000,327.809495
408.921453,1000,332.099157
518.862787,1000,338.151898
396.165677,1000,343.202679
441.668653,1000,347.201648
424.684688,1000,351.490627
428.004013,1000,357.145519
459.160649,1000,363.351738
505.479807,1000,369.557944
545.410163,1000,374.972442
410.539741,1000,379.003817
422.643154,1000,384.442341
456.526301,1000,388.590312
506.378999,1000,393.722069
420.186985,1000,397.753431
463.80069,1000,402.014529
367.549424,1000,406.081892
360.776216,1000,410.280509
351.34206,1000,415.301272
391.7458,1000,421.530537
397.196681,1000,427.796687
362.380619,1000,433.792599
440.456158,1000,437.848878
447.789962,1000,443.427217
490.191599,1000,447.508001
474.772443,1000,452.821482
403.560864,1000,456.895384
372.529449,1000,461.693717
355.679874,1000,465.80734
440.030691,1000,470.225603
421.598315,1000,476.321101
397.607788,1000,482.519554
470.803275,1000,486.736503
431.588465,1000,492.013945
497.916646,1000,496.419411
454.159653,1000,501.498025
382.849448,1000,506.008881
377.476276,1000,510.874604
392.135849,1000,515.495558
375.175503,1000,519.84639
440.209149,1000,524.534091
428.792919,1000,528.53419
455.62485,1000,532.867851
388.176696,1000,536.952802
371.082784,1000,541.159045
422.968095,1000,547.05688
356.073108,1000,553.387794
358.83533,1000,559.603578
400.921025,1000,564.815023
504.506201,1000,569.426543
397.764501,1000,574.640151
442.452279,1000,579.241202
479.881374,1000,584.664556
457.28525,1000,589.165675
502.122057,1000,593.442876
401.695779,1000,597.433669
467.952011,1000,602.529384
373.115431,1000,606.586526
417.214281,1000,610.827724
459.502674,1000,614.869111
427.072251,1000,619.154276
416.346152,1000,624.376789
448.487419,1000,630.658742
380.483433,1000,636.957728
408.617417,1000,642.891719
393.392415,1000,646.963212
429.373843,1000,652.759336
448.339344,1000,656.726992
571.177527,1000,662.615013
397.325893,1000,666.700781
547.345137,1000,672.786413
423.908105,1000,677.053272
381.655032,1000,683.41913
470.28029,1000,688.588247
403.398127,1000,694.824101
450.809109,1000,699.122233
547.575489,1000,703.067254
517.253352,1000,708.604176
404.358421,1000,714.812068
434.640302,1000,719.29753
388.431062,1000,723.412652
406.663242,1000,727.827541
351.793325,1000,731.81514
373.517947,1000,736.419898
419.832381,1000,742.670571
378.471427,1000,747.448494
495.419636,1000,751.495272
466.27396,1000,756.048406
331.722315,1000,762.374841
358.242733,1000,767.353109
375.846145,1000,771.400646
451.30369,1000,776.384534
462.169806,1000,782.649969
422.51057,1000,787.944927
512.57027,1000,791.952041
519.527593,1000,796.412459
459.155383,1000,800.402895
522.245783,1000,804.755047
384.3102,1000,810.965082
506.990306,1000,816.540534
435.209881,1000,820.597758
422.855133,1000,825.224473
397.838044,1000,831.511034
517.749774,1000,838.091229
476.312949,1000,844.431697
480.183762,1000,851.053702
509.990588,1000,857.358277
464.76544,1000,863.961833
409.50209,1000,870.280008
497.5399,1000,876.886426
442.208585,1000,883.140754
502.963147,1000,889.645552
469.392784,1000,895.990865
455.037731,1000,903.15148
412.572835,1000,909.442029
394.879381,1000,916.027
357.550774,1000,922.297035
485.794431,1000,928.669817
439.269277,1000,935.304487
456.139108,1000,941.630181
482.573119,1000,948.217952
397.989472,1000,954.513395
388.338529,1000,961.11004
442.516848,1000,967.457635
376.256711,1000,974.034993
352.797111,1000,980.320448
385.58969,1000,986.884756
341.776361,1000,993.240065
363.115412,1000,999.808962
334.556891,1000,1006.10677
348.787034,1000,1012.694491
358.320068,1000,1019.140221
366.447567,1000,1025.68443
367.150214,1000,1032.055416
377.001261,1000,1038.598522
397.247841,1000,1044.875302
408.702758,1000,1051.496333
426.032661,1000,1057.77979
395.769529,1000,1064.379104
446.312192,1000,1070.646272
427.733046,1000,1075.772587
396.194521,1000,1080.715391
381.069133,1000,1085.808834
523.083877,1000,1090.804281
487.235542,1000,1096.039118
443.441087,1000,1100.970931
403.437148,1000,1106.100431
468.595115,1000,1111.027345
428.633464,1000,1116.129925
535.761813,1000,1121.073722
494.21442,1000,1126.220265
427.328457,1000,1131.270396
454.651885,1000,1136.484032
427.909913,1000,1141.428354
377.125383,1000,1146.656118
552.256938,1000,1151.61448
453.540413,1000,1156.788649
512.868207,1000,1161.737739
425.403674,1000,1166.916005
399.265269,1000,1171.913545
377.018644,1000,1176.945845
432.588884,1000,1182.175232
470.782336,1000,1187.098556
486.993524,1000,1192.287338
454.376249,1000,1197.276652
489.410446,1000,1202.404563
404.461774,1000,1207.350144
420.268077,1000,1212.541158
447.354511,1000,1217.559668
481.216537,1000,1222.699888
503.401217,1000,1227.661315
476.339746,1000,1232.832057
480.041126,1000,1237.805821
515.342791,1000,1243.017505
474.685427,1000,1247.974761
491.176759,1000,1253.202249
535.698009,1000,1258.146026
448.016867,1000,1263.300801
480.303177,1000,1268.222287
456.657807,1000,1273.447266
499.429903,1000,1278.424172
498.950148,1000,1283.619885
473.396609,1000,1288.579988
477.116552,1000,1293.792775
432.401106,1000,1298.744461
477.347801,1000,1303.803192
456.78187,1000,1308.67942
470.973252,1000,1313.760187
495.707958,1000,1318.577674
436.151747,1000,1323.625603
441.119523,1000,1328.470564
538.146464,1000,1333.524384
412.779835,1000,1338.339994
441.119588,1000,1343.421458
502.901626,1000,1348.258963
455.113617,1000,1353.368384
421.980388,1000,1358.157229
477.752467,1000,1363.197208
541.952671,1000,1367.995371
509.299828,1000,1372.985825
497.656945,1000,1377.78595
480.84956,1000,1382.8399
482.396042,1000,1387.667825
494.174737,1000,1392.500483
421.908548,1000,1397.53472
489.994323,1000,1402.383108
431.168344,1000,1407.44117
382.157552,1000,1412.286257
467.174705,1000,1417.336901
505.098403,1000,1422.179166
501.126271,1000,1427.272223
493.960295,1000,1432.121895
554.98984,1000,1437.210978
500.463817,1000,1442.082506
521.265885,1000,1447.16024
488.737136,1000,1452.0086
417.243535,1000,1457.144005
585.139936,1000,1461.973604
505.577364,1000,1466.996066
489.852329,1000,1471.80075
429.142354,1000,1476.822943
310.633973,1000,1481.65977
401.666381,1000,1486.703172
504.43382,1000,1491.530474
415.751357,1000,1496.612996
513.776059,1000,1501.517989
466.514868,1000,1506.623072
87.661143,90,1507.062494
512.785105,1000,1511.898686
71.993837,80,1512.285743
539.951627,1000,1517.372414
464.315497,1000,1522.230727
449.743048,1000,1527.312304
378.735919,1000,1532.141117
453.920066,1000,1537.272267
507.804363,1000,1542.111273
412.651071,1000,1547.172804
428.346328,1000,1551.945176
494.147615,1000,1557.023069
514.131027,1000,1561.849761
442.20331,1000,1566.975735
539.493142,1000,1571.738012
507.702592,1000,1576.87175
422.514281,1000,1581.646437
486.887096,1000,1586.805161
469.782987,1000,1591.59263
537.357202,1000,1596.696906
455.612649,1000,1601.539346
487.305069,1000,1606.659624
411.588392,1000,1611.519459
476.682534,1000,1616.659563
445.054706,1000,1621.441901
480.999381,1000,1626.494058
494.509912,1000,1631.312383
453.125845,1000,1636.183653
499.794856,1000,1641.244617
484.703132,1000,1646.188154
530.831422,1000,1651.282078
459.652216,1000,1656.223102
484.194607,1000,1661.360229
510.758814,1000,1666.253347
532.141148,1000,1671.301516
510.146306,1000,1676.182738
539.68145,1000,1681.231461
480.767981,1000,1686.088672
407.149544,1000,1691.170493
432.951841,1000,1696.060638
560.433595,1000,1701.148154
434.689389,905,1705.583588
483.157317,1000,1710.674937
246.793601,606,1713.575925
516.606615,1000,1718.703212
438.246018,1000,1723.516676
477.149566,1000,1728.690035
482.057899,1000,1733.499972
483.484079,1000,1738.673661
414.705182,1000,1743.522732
408.040522,1000,1748.523042
468.154242,1000,1753.591068
434.181683,1000,1758.591022
440.590249,1000,1763.667655
407.472136,1000,1768.619508
490.96957,1000,1773.687408
467.907454,1000,1778.623435
443.323569,1000,1783.749908
429.186585,1000,1788.626362
516.83993,1000,1793.687371
401.229784,1000,1798.537947
509.886285,1000,1803.610224
342.048391,1000,1808.45628
459.229268,1000,1813.577153
386.207671,1000,1818.489973
479.28666,1000,1823.573691
482.435655,1000,1828.519104
454.113188,1000,1833.627859
423.837143,1000,1838.549811
492.37467,1000,1843.629896
400.016788,1000,1848.503086
403.947011,1000,1853.592411
472.767855,1000,1858.44369
549.158371,1000,1863.556299
432.011411,1000,1868.346922
