# {"t_start": 1573788353.1062863, "env_id": "AntBulletEnv-v0"} 
r,l,t
245.118022,559,1.621073
461.484704,1000,3.48674
157.960099,336,4.219113
480.384077,1000,7.220356
336.551727,1000,9.56987
464.671522,1000,11.694297
321.275813,1000,13.798982
434.391709,1000,16.156946
481.15422,1000,18.544591
428.492378,1000,20.827456
480.549996,1000,23.009065
458.170856,1000,25.568777
460.327876,1000,28.181358
469.113998,1000,30.95
484.580247,1000,33.60112
472.633657,1000,36.331078
490.144298,1000,38.875288
476.946716,1000,41.507967
483.794346,1000,44.05841
524.061413,1000,46.672602
483.96005,1000,49.203138
420.996507,1000,51.833364
514.805661,1000,54.341324
521.967264,1000,56.997479
507.765297,1000,59.541195
527.417638,1000,62.171458
527.655505,1000,64.698802
475.038226,1000,67.363615
398.562367,1000,69.883346
400.191708,1000,72.515345
546.501961,1000,75.060212
419.698569,1000,77.745771
503.008611,1000,80.324548
572.422766,1000,82.969203
518.268089,1000,85.567598
407.801875,1000,88.29141
548.685329,1000,90.916988
430.900494,1000,93.619424
559.292826,1000,96.220671
549.50374,1000,98.811305
515.969966,1000,101.561432
515.995947,1000,104.130274
368.727347,1000,106.886694
370.082112,1000,109.55494
455.757053,1000,112.33229
424.025172,1000,114.993324
538.595732,1000,117.739689
379.426893,1000,120.403901
475.924217,1000,123.193545
426.489928,1000,125.814245
483.542501,1000,128.609016
463.804857,1000,131.261019
459.386434,1000,134.053523
398.776068,1000,136.693222
451.356553,1000,139.491488
407.24592,1000,142.144323
460.0806,1000,144.908523
407.036729,1000,147.581842
487.70794,1000,150.371753
530.820978,1000,152.99537
520.149465,1000,155.772566
486.884563,1000,158.379633
423.679604,1000,161.169669
564.253925,1000,163.813848
402.524803,1000,166.616705
550.384295,1000,169.226968
445.681534,1000,172.031731
486.599074,1000,174.682283
519.70765,1000,177.447466
407.996085,1000,180.059813
406.264549,1000,182.817969
427.685861,1000,185.419144
455.593408,1000,188.171412
491.115356,1000,190.783226
471.020077,1000,193.571307
489.971111,1000,196.210905
507.209214,1000,198.960038
401.788219,1000,201.588447
484.474706,1000,204.303855
393.742183,1000,206.920992
439.77245,1000,209.640312
548.410597,1000,212.271902
395.338223,1000,214.910317
405.353362,1000,217.725415
394.233385,1000,220.402997
566.329067,1000,223.189603
443.162373,1000,225.857832
529.070716,1000,228.647504
446.593882,1000,231.236812
476.609836,1000,233.959903
407.760965,1000,236.567688
390.357059,1000,239.3017
387.314462,1000,241.961399
435.394091,1000,244.745241
454.535465,1000,247.38235
462.428786,1000,250.089699
426.79057,1000,252.693468
533.271817,1000,255.413687
495.240567,1000,258.02397
510.365875,1000,260.781255
491.983918,1000,263.39888
468.498804,1000,266.123937
500.612012,1000,268.778115
517.01094,1000,271.541788
474.426226,1000,274.223179
402.730377,1000,277.02506
512.490509,1000,279.668287
375.727864,1000,282.422117
387.915409,1000,285.058509
348.402581,1000,287.832491
355.287135,1000,290.443432
526.716701,1000,293.164098
448.331928,1000,295.821543
395.383767,1000,298.642287
448.351662,1000,301.277729
374.707563,1000,304.031631
436.832932,1000,306.680829
420.077437,1000,309.510341
457.280596,1000,312.155483
487.265593,1000,314.901267
363.363949,1000,317.535272
366.85226,1000,320.287333
430.745649,1000,322.927384
410.958707,1000,325.75395
389.321388,1000,328.459671
442.348454,1000,331.101529
475.0523,1000,333.84885
509.664994,1000,336.427908
447.957074,1000,339.157773
496.57208,1000,341.765472
492.242345,1000,344.537176
478.679919,1000,347.135806
461.511261,1000,349.941987
525.799357,1000,352.545917
374.968963,1000,355.310922
511.812127,1000,357.908524
514.158218,1000,360.692381
485.729071,1000,363.295003
524.948672,1000,366.056015
450.301736,1000,368.71716
422.20949,1000,371.471221
453.205868,1000,374.059978
471.286172,1000,376.791479
455.36629,1000,379.439965
570.630861,1000,382.2274
361.063546,1000,384.907612
446.661172,1000,387.706624
456.466107,1000,390.369329
378.916634,1000,393.143936
389.595147,1000,395.815835
432.618409,1000,398.583745
392.088937,1000,401.209965
342.888425,1000,403.975032
347.917455,1000,406.561777
393.091716,1000,409.481042
442.742242,1000,412.257325
464.705902,1000,415.0584
485.913419,1000,417.792424
467.41576,1000,420.623211
554.09648,1000,423.24609
482.25735,1000,426.180283
416.256244,1000,428.930093
356.802331,1000,431.812042
472.831577,1000,434.605866
477.561318,1000,437.377555
341.756047,1000,440.142436
469.579886,1000,443.050385
351.185977,1000,445.816139
365.382115,1000,448.473948
419.488333,1000,451.31637
406.414974,1000,453.980865
399.710916,1000,456.83031
434.906151,1000,459.564852
455.705477,1000,462.407476
429.924382,1000,465.052571
450.712747,1000,467.909321
366.139872,1000,470.596718
366.325937,1000,473.406947
456.490149,1000,476.118985
355.687191,1000,478.9838
354.125304,1000,481.788759
481.242749,1000,484.623893
353.69911,1000,487.389004
459.722306,1000,490.22221
396.514608,1000,492.935868
387.186257,1000,495.769982
466.548589,1000,498.46609
370.503813,1000,501.422143
426.784301,1000,504.120423
416.783857,1000,507.08462
403.316855,1000,509.869943
374.854932,1000,512.872903
395.552828,1000,515.587779
433.527313,1000,518.447243
456.672793,1000,521.175878
446.202621,1000,524.02273
450.009833,1000,526.828705
483.045387,1000,529.649487
540.773964,1000,532.368728
