# {"t_start": 1572638179.3192465, "env_id": "AntBulletEnv-v0"} 
r,l,t
448.848525,1000,4.051276
442.214119,1000,6.951774
434.693455,1000,10.118083
367.074347,809,12.47888
496.906491,1000,15.387608
446.454086,1000,18.288022
480.857933,1000,21.380636
371.580613,1000,24.391824
87.456134,214,25.013737
502.020193,1000,28.006617
410.415449,1000,30.959096
391.05263,1000,33.983319
393.073702,1000,36.993678
364.706936,1000,40.065871
379.521799,1000,43.118815
487.99116,1000,46.122628
475.994348,1000,49.00476
475.571449,1000,51.704531
536.923568,1000,54.506392
494.593109,1000,57.574852
566.603275,1000,60.535435
526.444616,1000,63.440689
491.535093,1000,66.277611
548.125268,1000,69.234574
550.836109,1000,72.180508
572.814157,1000,75.139462
542.866671,1000,77.847934
532.060392,1000,80.605515
536.642263,1000,83.37361
512.776259,1000,86.441603
575.580854,1000,89.350917
430.043196,1000,92.060658
438.323165,1000,94.913041
554.006874,1000,97.824508
540.995214,1000,100.708045
542.610806,1000,103.588384
484.251044,1000,106.474944
508.358073,1000,109.478537
436.733801,1000,112.397478
459.575305,1000,115.291112
536.484004,1000,118.218725
538.702686,1000,121.09402
447.655607,1000,124.040278
390.229456,1000,127.0078
437.639598,1000,130.001658
498.939188,1000,132.91008
524.328334,1000,135.696024
527.508223,1000,138.571324
519.472461,1000,141.236891
446.991,1000,144.158046
574.253915,1000,146.8668
548.662913,1000,149.84577
449.104376,1000,152.781029
464.771508,1000,155.548043
564.763876,1000,158.458356
555.540902,1000,161.302427
499.477496,1000,164.225117
538.825011,1000,167.094871
507.164146,1000,170.067465
422.2913,1000,173.035387
430.763774,1000,176.045591
498.575924,1000,178.912508
480.300397,1000,181.921373
539.689,1000,184.779317
568.552395,1000,187.655987
465.235121,1000,190.55485
483.301622,1000,193.494491
531.064066,1000,196.391242
436.410193,1000,199.328958
501.032774,1000,202.254347
530.055973,1000,205.153713
496.570879,1000,208.058363
528.04581,1000,211.132061
386.94493,1000,214.072885
573.91102,1000,217.044833
419.592906,1000,219.899941
570.400161,1000,222.712754
512.788023,1000,225.54652
489.372475,1000,228.604134
488.562405,1000,231.513286
528.158758,1000,234.436308
420.320085,1000,237.098901
404.531399,1000,240.050812
463.44492,1000,242.97185
404.212624,1000,245.979587
471.827873,1000,248.820276
454.354489,1000,251.78552
547.673418,1000,254.721825
522.857792,1000,257.546041
455.028826,1000,260.539803
483.102629,1000,263.403384
473.028204,1000,266.358016
540.283048,1000,269.244415
515.848325,1000,272.331572
516.827557,1000,275.243804
426.325812,1000,278.106487
405.945158,1000,280.901553
510.222405,1000,283.898946
439.968342,1000,286.755887
443.033402,1000,289.764513
591.541048,1000,292.63739
415.234785,1000,295.691518
420.224841,1000,298.577817
444.840105,1000,301.519584
395.483948,1000,304.440429
385.473209,1000,307.453947
415.55454,1000,310.374275
407.639846,1000,313.326839
526.555591,1000,316.166306
410.913792,1000,319.138697
456.788312,1000,321.985588
468.157106,1000,324.914522
412.752627,1000,327.735199
374.247549,1000,330.513618
383.955835,1000,333.340145
418.23067,1000,336.158878
385.102183,1000,339.090319
402.19125,1000,342.047659
438.897805,1000,344.892406
492.739386,1000,347.78187
575.488851,1000,350.570112
539.553038,1000,353.541948
551.951273,1000,356.451743
398.264677,1000,359.341019
443.658909,1000,362.008083
440.430809,1000,365.042042
517.951598,1000,367.953642
415.506953,1000,370.8795
468.943785,1000,373.840149
530.332102,1000,376.659491
474.798655,1000,379.467767
535.385829,1000,382.348264
471.812184,1000,385.28667
353.233454,1000,388.070752
489.71642,1000,391.006407
520.802788,1000,393.959204
570.51255,1000,396.929632
529.76173,1000,399.891639
574.767612,1000,402.775905
473.742793,1000,405.705522
532.226002,1000,408.607861
561.980921,1000,411.447183
559.866957,1000,414.418387
564.259608,1000,417.222875
605.249513,1000,420.18985
548.80558,1000,423.038197
492.687031,1000,426.018004
513.300473,1000,428.907495
496.518613,1000,431.753318
518.001161,1000,434.598159
458.996355,1000,437.462578
438.569425,1000,440.34233
542.76041,1000,443.256499
589.477996,1000,446.078977
498.060664,1000,448.991696
559.13556,1000,451.845761
503.737712,1000,454.803188
495.319266,1000,457.743931
531.051051,1000,460.705602
447.043441,1000,463.698924
495.433358,1000,466.683965
449.088206,1000,469.596129
545.687075,1000,472.423558
459.258254,1000,475.274168
497.009942,1000,478.301458
446.061912,1000,481.187179
354.996712,1000,483.967444
485.489121,1000,486.768242
435.711493,1000,489.777458
497.932144,1000,492.557319
447.277888,1000,495.721892
451.266013,1000,498.532432
451.060359,1000,501.346558
404.155013,1000,504.312596
471.723061,1000,507.24152
428.006342,1000,510.262934
494.907673,1000,513.095525
411.281161,1000,516.003442
488.330394,1000,518.903031
564.827434,1000,521.90362
442.417161,1000,524.804462
503.578291,1000,527.829045
434.814953,1000,530.734172
448.903185,1000,533.726454
514.698048,1000,536.604308
536.718213,1000,539.495643
422.834483,1000,542.38499
436.952926,1000,545.344997
497.293145,1000,548.318448
476.509497,1000,551.153961
530.687234,1000,554.147097
448.333318,1000,557.008822
488.269221,1000,559.819369
552.707705,1000,562.74879
510.235035,1000,565.606418
475.286477,1000,568.681464
589.819064,1000,571.452118
497.111394,1000,574.313946
456.891893,1000,577.153905
497.120805,1000,580.065556
501.032947,1000,582.954366
480.849559,1000,585.881505
497.690641,1000,588.797187
473.799548,1000,591.783356
461.468086,1000,594.662721
455.807806,1000,597.586987
465.037254,1000,600.495769
462.61757,1000,603.440639
483.223786,1000,606.322099
537.993255,1000,609.285012
485.341534,1000,612.261713
471.131755,1000,615.248434
474.430183,1000,617.955178
471.303601,1000,620.912325
414.730488,1000,623.777753
433.529101,1000,626.628893
484.812326,1000,629.607135
348.008108,1000,632.616142
374.156975,1000,635.685508
330.600377,1000,638.599691
493.191338,1000,641.61926
406.862242,1000,644.524004
499.577035,1000,647.602814
428.115564,1000,650.494247
420.566524,1000,653.471252
432.122456,1000,656.420938
375.152311,1000,659.3944
432.57333,1000,662.302604
409.114162,1000,665.41093
494.068173,1000,668.293576
435.015012,1000,671.307707
452.494559,1000,674.211638
422.06734,1000,677.222325
466.674468,1000,680.049088
485.777374,1000,683.026357
470.133034,1000,685.951015
475.070658,1000,688.899893
544.562828,1000,691.743638
461.626822,1000,694.698612
445.944125,1000,697.488546
461.513976,1000,700.38404
513.221916,1000,703.280072
428.146576,1000,706.273814
403.043741,1000,709.138075
526.943878,1000,712.095131
455.831349,1000,714.995124
416.443217,1000,717.952403
524.704123,1000,720.820045
475.568182,1000,723.740394
499.724713,1000,726.608084
402.83242,1000,729.521071
412.518758,1000,732.483034
512.902761,1000,735.426889
470.678906,1000,738.27606
485.958392,1000,741.197267
478.261187,1000,744.049499
531.064671,1000,747.020962
500.898673,1000,749.969955
487.454081,1000,752.88753
525.241895,1000,755.836983
461.709505,1000,758.801455
492.136258,1000,761.75572
488.197141,1000,764.678659
538.05714,1000,767.567096
499.935064,1000,770.476419
556.080633,1000,773.470749
407.251409,1000,776.365883
475.543232,1000,779.417414
429.163067,1000,782.328845
486.554022,1000,785.358345
445.586439,1000,788.169383
495.923454,1000,791.168834
437.123514,1000,794.023945
492.066642,1000,796.699862
501.505766,1000,799.540573
485.303321,1000,802.493536
500.782171,1000,805.371406
515.914811,1000,808.407456
487.174595,1000,811.239032
490.637876,1000,814.216863
491.493615,1000,817.08142
498.383584,1000,819.921908
