eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,445.531322,324,0.00071265246,0.00024414062,11.348857,-0.0032509994,26.295582,-0.04499483108520508,1,2048,6.31397731800098,2048
976.170731707317,472.57601182926834,343,0.0046091294,0.05517578,11.298277,-0.0008573128,26.283176,-0.06849288940429688,20,40960,119.98445559001993,40960
988.0853658536586,484.2876484390243,356,0.006246586,0.08984375,11.281598,-0.0030739342,10.98895,-0.07960069179534912,40,81920,238.82095999800367,81920
1000.0,484.31087955,345,0.005913185,0.08642578,11.238764,-0.003627474,14.226617,0.31913232803344727,60,122880,358.0037358379923,122880
1000.0,483.3849088900001,342,0.005348541,0.068725586,11.203034,-0.002165828,11.725333,0.2596110701560974,80,163840,476.85894958500285,163840
1000.0,481.6838983400001,343,0.008308778,0.12133789,11.171687,-0.0030159955,7.6601334,0.374847412109375,100,204800,596.0269927480258,204800
1000.0,470.72320452,343,0.0074381027,0.107910156,11.146031,-0.002073668,9.3190155,0.04636770486831665,120,245760,716.2532016320038,245760
1000.0,473.34827666000007,339,0.00841956,0.12060547,11.137341,-0.0004516241,10.450219,-0.0901799201965332,140,286720,835.7227449979982,286720
1000.0,481.49683451,342,0.012446618,0.18408203,11.112867,-0.0012990935,11.608651,-0.007915139198303223,160,327680,954.3339501820155,327680
1000.0,470.9129358899999,344,0.007424076,0.107910156,11.116046,0.00068644254,7.9115386,0.6489942967891693,180,368640,1073.8128263530089,368640
1000.0,443.38167397000007,345,0.016625868,0.24060059,11.113293,-0.0011922596,21.624126,0.36120885610580444,200,409600,1192.8450374320382,409600
1000.0,422.1662828600001,342,0.008403625,0.118652344,11.092916,-0.0027964772,9.437502,0.5718386769294739,220,450560,1312.427009453997,450560
1000.0,448.4195756699999,349,0.0075242827,0.106933594,11.057534,-0.00069533614,12.667229,0.3033123016357422,240,491520,1430.3763731740182,491520
1000.0,507.69777127000003,338,0.010380466,0.1508789,11.020388,-0.0027650236,10.410689,0.6888152956962585,260,532480,1549.3154874090105,532480
1000.0,524.41280983,337,0.008736988,0.12841797,10.995224,0.00077924,13.382376,0.07019412517547607,280,573440,1667.4490063629928,573440
1000.0,508.68243498,343,0.011342742,0.17663574,10.970173,-0.00066963676,13.827148,0.3088887929916382,300,614400,1786.4130006040214,614400
1000.0,501.19077918999994,342,0.011929359,0.18017578,10.95642,-0.0019607903,18.51518,0.29496151208877563,320,655360,1904.211774240015,655360
1000.0,494.6026022500001,352,0.0136886705,0.19628906,10.918133,-0.0027915097,9.050716,0.43987852334976196,340,696320,2023.0822245969903,696320
1000.0,481.60901605,354,0.008010773,0.107910156,10.849562,-0.0010215899,6.963975,0.7289401888847351,360,737280,2140.9732279280433,737280
1000.0,485.39034220999986,333,0.005417271,0.060424805,10.831299,0.00011413096,17.382378,0.16965585947036743,380,778240,2259.8434016930405,778240
991.63,481.22614308,340,0.010833746,0.16040039,10.797026,-0.0028318742,20.544516,0.1955311894416809,400,819200,2378.9906376230065,819200
987.95,491.8429295100001,340,0.011585186,0.1743164,10.781694,-0.0010051926,13.421733,0.2306833267211914,420,860160,2497.5990735180094,860160
987.95,491.77434387999995,336,0.016144557,0.21850586,10.741721,-0.0032008376,25.59622,-0.1273137331008911,440,901120,2617.4280950230313,901120
1000.0,495.5736012500001,342,0.009042025,0.13110352,10.75802,-0.0023197161,15.637342,0.49334263801574707,460,942080,2736.5504781570053,942080
994.24,498.30634576999995,340,0.009333979,0.14147949,10.714154,0.0009325878,10.9476595,0.5426119267940521,480,983040,2856.031496892043,983040
994.24,508.4944011400001,345,0.014202015,0.19189453,10.6934395,0.00047628736,15.868231,0.33772820234298706,500,1024000,2974.614315394021,1024000
994.24,495.61457194999997,341,0.011717165,0.18225098,10.65487,-0.0016722076,9.674789,0.5517840683460236,520,1064960,3092.7662975550047,1064960
1000.0,500.79261303,341,0.020434158,0.2607422,10.649722,0.0040117465,17.02838,0.012499213218688965,540,1105920,3211.765887807007,1105920
1000.0,511.1407052999999,340,0.008799049,0.13415527,10.647746,0.00048281086,14.203915,0.4677095413208008,560,1146880,3329.5811271410203,1146880
1000.0,507.1738962699999,342,0.010171563,0.15454102,10.633075,-0.0050631026,13.43519,0.3183937668800354,580,1187840,3448.7754543609917,1187840
1000.0,518.1384089,345,0.010509572,0.16125488,10.603664,-0.0030154625,14.207886,0.31258130073547363,600,1228800,3568.2244623380248,1228800
1000.0,528.4595597900001,331,0.0064146766,0.08654785,10.606241,-0.0007404834,11.515913,0.5271069705486298,620,1269760,3688.2276781250257,1269760
1000.0,532.29844781,342,0.010339116,0.15063477,10.610033,-0.003564541,10.564348,0.42166173458099365,640,1310720,3808.185075420013,1310720
1000.0,495.69874975,343,0.011568785,0.1730957,10.576158,-0.0045311665,9.848516,0.5859999060630798,660,1351680,3926.4958367189975,1351680
1000.0,489.0959611199999,337,0.0121694,0.1776123,10.523974,-0.0029299122,10.9178095,0.6321932077407837,680,1392640,4045.1839030919946,1392640
1000.0,513.61805662,332,0.019108083,0.2565918,10.498784,0.0010642248,21.792892,0.04118376970291138,700,1433600,4164.253178589046,1433600
997.28,507.8485446000001,336,0.011310874,0.17626953,10.480551,-0.0007259272,14.603561,0.17975056171417236,720,1474560,4283.335668375017,1474560
997.28,504.19754431999996,337,0.009361183,0.13696289,10.468375,0.0017084262,21.158396,0.13786697387695312,740,1515520,4401.47576137603,1515520
997.28,530.91767084,339,0.008790099,0.13024902,10.449798,0.00016544995,16.509573,0.5430712997913361,760,1556480,4520.076317866042,1556480
991.47,557.2232897700001,350,0.007989952,0.11779785,10.389717,-0.0051671565,14.069422,0.6637428104877472,780,1597440,4638.753515838995,1597440
991.47,563.17803941,340,0.0076832958,0.11254883,10.32777,0.0006087078,15.83157,0.21920543909072876,800,1638400,4757.5474868380115,1638400
991.47,563.0705848800001,350,0.009727155,0.15014648,10.304055,-0.0029290807,15.879629,0.4424930810928345,820,1679360,4875.287828123022,1679360
