# {"t_start": 1572638132.380868, "env_id": "AntBulletEnv-v0"} 
r,l,t
453.688172,1000,4.758584
444.547145,1000,8.178009
451.846281,1000,11.82033
447.75475,1000,15.29549
458.299308,1000,18.923129
442.056679,1000,22.391409
466.570556,1000,26.006176
3.001425,21,26.078392
449.412538,1000,29.204655
471.288081,1000,32.672382
479.948074,1000,36.210883
435.988458,1000,39.663398
441.97086,1000,43.087951
470.90874,1000,46.591728
463.067159,1000,49.714573
472.025221,1000,53.075293
478.738827,1000,56.275353
499.698258,1000,59.690612
511.16457,1000,62.980394
466.025094,1000,66.410013
485.139962,1000,69.791549
478.144873,1000,73.155508
482.687009,1000,76.406454
495.973647,1000,79.905236
460.405316,1000,83.186613
416.733523,1000,86.70298
529.708256,1000,90.134581
546.316237,1000,93.539421
529.617645,1000,96.924728
535.523538,1000,100.184496
523.898933,1000,103.427675
528.590048,1000,106.774815
533.978075,1000,110.063223
498.596953,1000,113.527408
502.134721,1000,116.783061
480.733859,1000,120.129948
451.664132,1000,123.365373
497.041296,1000,126.709074
503.346704,1000,130.045336
512.762559,1000,133.444853
519.963588,1000,136.673956
382.573755,1000,139.903423
513.412349,1000,143.17648
508.135747,1000,146.570046
516.979414,1000,149.782406
501.951213,1000,152.96499
432.754972,1000,156.249762
466.916733,1000,159.395373
487.213949,1000,162.702828
472.010677,1000,165.883026
480.494232,1000,169.283603
451.660194,1000,172.741383
478.768548,1000,176.076062
458.300868,1000,179.388792
501.9075,1000,182.826713
485.249531,1000,186.115265
428.667051,1000,189.250901
479.486946,1000,192.571503
481.857424,1000,195.931118
500.322011,1000,199.257236
488.659798,1000,202.576364
462.806083,1000,205.804277
484.329514,1000,209.152194
486.59318,1000,212.464266
501.069168,1000,215.86308
521.655436,1000,219.10702
512.597639,1000,222.494092
510.979065,1000,225.793236
458.99931,1000,228.92915
333.35528,1000,232.178278
482.53836,1000,235.461926
285.72816,1000,238.766563
365.529578,1000,241.863878
496.703386,1000,245.12237
443.650377,1000,248.577496
430.177231,1000,251.86263
499.150654,1000,255.348202
364.180198,1000,258.836781
516.6808,1000,262.082422
454.116063,1000,265.355994
529.57376,1000,268.658298
482.673088,1000,271.938238
484.87571,1000,275.36132
419.114543,1000,278.565932
486.381245,1000,281.939529
499.097244,1000,285.102232
460.603304,1000,288.458268
572.472453,1000,291.777026
464.976779,1000,295.011338
491.297652,1000,298.439246
514.309104,1000,301.654643
510.45328,1000,305.024713
518.178417,1000,308.373382
436.845356,1000,311.812701
495.877714,1000,315.113142
508.399605,1000,318.114498
478.998167,1000,321.356269
522.399075,1000,324.683248
479.587208,1000,327.670734
559.291592,1000,331.129733
461.518964,1000,334.241072
452.021622,1000,337.561651
433.985929,1000,340.906837
454.455888,1000,344.247867
481.577971,1000,347.573806
470.564409,1000,351.016099
394.857489,1000,354.038931
409.77843,1000,357.563549
441.173521,1000,360.792227
421.897196,1000,364.244239
333.836963,733,366.706365
404.337965,1000,370.109793
383.696085,778,372.594465
419.060735,1000,375.903795
406.586889,1000,378.892757
405.347441,886,381.666349
387.827613,1000,385.04668
423.14383,1000,388.392707
515.147904,1000,391.621672
108.113999,218,392.30579
463.231142,1000,395.551218
389.182319,1000,398.502439
358.575652,1000,401.866088
365.411124,1000,405.25829
340.034124,1000,408.142985
422.182849,1000,411.564805
203.582379,451,413.0985
417.259674,1000,416.526171
167.054737,348,417.60094
109.991511,235,418.389591
14.707828,35,418.51219
413.782251,1000,421.86353
459.573204,1000,425.17208
479.139227,1000,428.354176
521.046632,1000,431.728488
534.818337,1000,435.054621
463.790991,1000,438.439196
504.436942,1000,441.850149
495.482894,1000,445.249542
504.557061,1000,448.611903
446.512619,1000,451.926181
607.534222,1000,455.173782
398.732564,1000,458.576666
453.457029,1000,461.632701
420.448227,1000,465.096674
453.480555,1000,468.380288
445.466812,1000,471.750318
509.756921,1000,474.973249
461.801612,1000,478.338489
415.947793,1000,481.643207
300.337082,629,483.710094
469.668972,1000,487.041652
540.438447,1000,490.204017
469.813855,1000,493.332325
478.554062,1000,496.597434
472.293686,1000,499.963317
475.623957,1000,503.324192
466.377673,1000,506.67414
439.091465,1000,509.951932
484.325932,1000,513.479213
485.870952,1000,516.734972
427.003895,1000,520.094683
376.207961,1000,523.435088
428.950803,1000,526.805638
463.474506,1000,530.079004
520.653422,1000,533.415557
538.47987,1000,536.6282
503.829541,1000,540.034282
470.466214,1000,543.394532
445.428508,1000,546.713486
559.84134,1000,550.001227
491.193725,1000,553.44357
474.327865,1000,556.76639
467.737186,1000,560.104887
469.043523,1000,563.321096
499.503597,1000,566.776935
533.64232,1000,570.124476
512.474262,1000,573.508817
444.025119,1000,576.76107
495.016654,1000,580.258884
494.311398,1000,583.451069
484.292362,1000,586.788531
313.099953,640,588.667701
452.909666,1000,591.942997
487.405736,1000,595.31178
453.064438,1000,598.424412
383.791658,1000,601.793477
493.052326,1000,605.095266
509.203885,1000,608.489753
494.569471,1000,611.650371
421.265076,1000,615.003153
495.098457,1000,618.25574
499.574695,1000,621.518299
490.329818,1000,624.746393
455.631327,1000,628.14531
483.7059,1000,631.145211
493.939065,1000,634.564214
