eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,449.1176585,273,0.0003417507,0.0,11.349905,-0.0016077647,27.37556,0.016457021236419678,1,2048,7.491777888033539,2048
976.1219512195122,471.2429529268292,310,0.008759955,0.12634277,11.289098,0.003147052,17.041065,-0.011162638664245605,20,40960,138.66257739102002,40960
988.060975609756,469.04110136585376,299,0.0102938935,0.15161133,11.279755,-0.002768109,15.749929,-0.056093573570251465,40,81920,274.0077389749931,81920
986.15,462.7954296099999,318,0.011517957,0.16394043,11.270853,0.0036010975,13.804149,-0.2941305637359619,60,122880,408.041102031013,122880
953.13,438.4858775300001,297,0.02118036,0.28308105,11.2583275,0.0016310959,20.919962,0.14445483684539795,80,163840,544.0976188280038,163840
949.53,444.8445748600001,305,0.00902317,0.12927246,11.234223,0.003079641,17.63081,-0.3089122772216797,100,204800,678.1609672470368,204800
993.38,475.24847602999995,308,0.01259989,0.19042969,11.221487,-0.00211342,14.813965,-0.12321603298187256,120,245760,813.8296885900199,245760
996.98,473.52903973,302,0.026999347,0.33544922,11.202658,0.0034206123,15.081941,-0.22432219982147217,140,286720,948.2925559130381,286720
1000.0,475.17895059999995,300,0.03470192,0.38513184,11.169003,0.003801471,15.778772,-0.009544610977172852,160,327680,1083.4830605080351,327680
989.23,472.45615769000005,312,0.015325014,0.21936035,11.152334,-0.0010275969,16.17784,-0.2739912271499634,180,368640,1217.368962878012,368640
974.75,469.2651638799999,304,0.007162208,0.099853516,11.115868,0.0013515572,18.630772,-0.0604022741317749,200,409600,1351.3251384640462,409600
953.46,454.10130416,293,0.0075533018,0.11364746,11.087103,-0.0027416106,10.592154,-0.10234951972961426,220,450560,1486.9422635509982,450560
961.85,449.81353072999997,304,0.034408927,0.3486328,11.050534,0.00018242278,12.176065,-0.11921226978302002,240,491520,1622.4241185010178,491520
975.0,465.53943158000004,298,0.012260739,0.18640137,11.013672,0.000755522,14.2013645,-0.17097258567810059,260,532480,1756.361875341041,532480
996.26,488.79219042999995,297,0.011031252,0.16992188,10.977147,0.0028126126,14.481927,-0.0029306411743164062,280,573440,1891.4717879199889,573440
996.26,491.28272016000005,299,0.0028850352,0.019165039,10.974566,-0.00021341183,17.676723,-0.2153024673461914,300,614400,2025.966031996999,614400
1000.0,486.51959919,303,0.011168307,0.16674805,10.918022,-0.0008098993,13.451279,-0.10125267505645752,320,655360,2159.6539670079947,655360
994.91,473.56952896,311,0.013279153,0.19482422,10.890261,-0.0016601756,9.675057,-0.05747818946838379,340,696320,2293.2445308340248,696320
990.52,485.8532880800001,306,0.011394424,0.171875,10.775658,0.0013793363,12.46162,-0.08743226528167725,360,737280,2427.4493505050195,737280
974.71,483.8125887500001,303,0.0095890565,0.14221191,10.713101,-0.0006292946,11.2708235,0.013571441173553467,380,778240,2562.8950792920077,778240
984.19,487.33570931,300,0.012124219,0.18115234,10.679994,0.0003835293,16.97638,0.038251519203186035,400,819200,2698.365585956024,819200
1000.0,492.44931017999994,309,0.015405753,0.21057129,10.6450615,0.0010963792,18.102894,0.389984667301178,420,860160,2833.384842834028,860160
994.69,492.91191029000004,302,0.008182716,0.11694336,10.602689,-0.00012355152,15.594404,-0.13624250888824463,440,901120,2968.183561980026,901120
994.69,493.30220006999997,310,0.014340724,0.2199707,10.573146,-0.0018309648,11.211774,-0.09490740299224854,460,942080,3101.957451549999,942080
1000.0,495.58505942999994,302,0.0067498274,0.08947754,10.57173,-0.0014905467,10.124006,-0.040186166763305664,480,983040,3236.4856398919947,983040
988.47,498.09352943,304,0.013921653,0.20861816,10.545139,-0.00096888933,12.43447,-0.0278778076171875,500,1024000,3369.818032715004,1024000
977.7,488.2873980099999,305,0.010609006,0.16247559,10.519077,-0.00063372875,11.4519825,-0.09294366836547852,520,1064960,3504.55769317504,1064960
973.24,475.13812994999995,307,0.010206855,0.15136719,10.504228,0.00038833683,10.110156,0.06097656488418579,540,1105920,3640.09728975303,1105920
976.16,451.78700756,302,0.014181515,0.21142578,10.476325,0.0019337423,12.86166,0.17552298307418823,560,1146880,3775.712404430029,1146880
980.34,441.6494179200001,300,0.00955279,0.14208984,10.469955,-0.0017023074,8.309253,-7.152557373046875e-07,580,1187840,3909.901169571036,1187840
978.67,433.87137499000005,299,0.007992168,0.103271484,10.430094,0.0015088653,17.49124,0.2327844500541687,600,1228800,4045.131532663014,1228800
993.46,460.5990760700001,303,0.014623011,0.20544434,10.34511,0.0010123382,11.2390585,-0.043207406997680664,620,1269760,4179.069522989041,1269760
980.75,491.11036237,300,0.014758636,0.21008301,10.287281,-0.0032728722,9.518489,0.016643762588500977,640,1310720,4314.125677233038,1310720
987.29,503.32877587999997,303,0.0113215465,0.17053223,10.229889,0.0014078794,11.078432,-0.008696675300598145,660,1351680,4448.994357634045,1351680
983.23,499.9819890999999,301,0.011268656,0.15698242,10.161209,0.0003617873,12.947745,-0.03350198268890381,680,1392640,4583.571595076995,1392640
992.09,512.01551538,304,0.018971674,0.272583,10.121628,0.0003322091,12.614831,-0.008410930633544922,700,1433600,4718.228634239,1433600
992.83,494.6133813300001,303,0.006976802,0.09460449,10.108995,0.0024227141,13.010188,-0.03701066970825195,720,1474560,4852.600050016015,1474560
970.17,453.67542924,296,0.007907858,0.11242676,10.126675,-0.0013212261,13.468213,-0.11997485160827637,740,1515520,4988.393753518001,1515520
971.53,472.66902905,314,0.011309907,0.16345215,10.088495,-0.0037004126,10.991332,0.08307886123657227,760,1556480,5122.50702416501,1556480
986.16,504.66830630000004,299,0.009178937,0.13476562,10.02939,0.003993623,13.866129,0.02262824773788452,780,1597440,5256.15210334101,1597440
994.19,514.016842,301,0.010741621,0.16711426,9.960066,-0.0015194314,11.444528,-0.018178701400756836,800,1638400,5390.129703500017,1638400
1000.0,511.20214024999996,302,0.009530458,0.13439941,9.947299,-0.0038877723,12.375293,0.06622481346130371,820,1679360,5524.829001972044,1679360
1000.0,504.74586042999994,294,0.012338651,0.18444824,9.908911,-0.0022580256,11.415764,-0.0672844648361206,840,1720320,5659.4854787110235,1720320
1000.0,505.69865206000003,314,0.0119166,0.18139648,9.853776,-0.0044388287,16.65224,0.08584260940551758,860,1761280,5793.065073872043,1761280
1000.0,512.9451731500001,304,0.011778936,0.16894531,9.834615,0.0011905134,17.687023,0.08601921796798706,880,1802240,5927.841781374998,1802240
1000.0,516.7369180999999,300,0.006592119,0.08459473,9.79644,-0.00073712657,12.909678,0.023448169231414795,900,1843200,6062.5758208920015,1843200
997.53,522.63392688,307,0.012145214,0.17651367,9.737619,-2.527237e-05,13.740707,0.10768312215805054,920,1884160,6197.2072504030075,1884160
997.53,499.67916877999994,315,0.010692099,0.15100098,9.6949,-0.00028228108,12.542009,-0.014251708984375,940,1925120,6331.621366751031,1925120
997.53,476.9546096,312,0.009891226,0.14709473,9.656814,0.0017045644,16.764132,0.16678661108016968,960,1966080,6466.3410983349895,1966080
1000.0,498.75429643999996,302,0.0124961985,0.17895508,9.644836,0.0021027534,12.905418,0.014224350452423096,980,2007040,6601.220375280012,2007040
1000.0,528.07697341,309,0.005886486,0.0736084,9.628184,-0.0019480572,19.021963,0.04143667221069336,1000,2048000,6734.622398370993,2048000
1000.0,523.04695954,310,0.010005423,0.14440918,9.580102,0.0010310258,13.987583,0.13700735569000244,1020,2088960,6869.0065569230355,2088960
1000.0,509.5124163199999,310,0.011057714,0.1586914,9.539146,-0.0020009468,10.720925,0.003214418888092041,1040,2129920,7002.497234748036,2129920
995.19,497.76214481999995,300,0.013903515,0.19726562,9.53811,-0.0030524835,10.627225,-0.00340116024017334,1060,2170880,7137.63163603202,2170880
974.9,488.38162962,304,0.013189603,0.20153809,9.5261345,-0.0025993357,9.59395,0.07453882694244385,1080,2211840,7272.002691406,2211840
968.59,478.27570642,303,0.00950282,0.14013672,9.514342,-0.0018711846,13.380399,0.07244044542312622,1100,2252800,7406.74706463801,2252800
993.69,506.5503825100001,310,0.025410926,0.30126953,9.473203,-0.0015028302,12.963173,-0.026648879051208496,1120,2293760,7540.7831950900145,2293760
1000.0,536.1166294899999,298,0.009178129,0.13293457,9.459371,-0.0018756123,12.336967,-0.0218428373336792,1140,2334720,7676.482970262994,2334720
994.04,522.2871050199999,303,0.014334404,0.20739746,9.457389,-0.0025200893,10.035829,-0.02080249786376953,1160,2375680,7810.604913609044,2375680
990.06,507.89863532999993,302,0.010827661,0.16796875,9.416186,-0.001550887,11.448347,-0.009405970573425293,1180,2416640,7945.037914630026,2416640
989.99,509.80270086999997,310,0.0142440135,0.20568848,9.437138,-0.0019036194,16.246735,-0.008299469947814941,1200,2457600,8078.728169310023,2457600
989.99,510.29071628,312,0.012189594,0.1697998,9.401354,-0.00028094696,11.307914,-0.028146743774414062,1220,2498560,8213.423051724036,2498560
993.97,518.6735664999999,307,0.008077514,0.11462402,9.373475,-0.0018949303,17.158337,0.18811333179473877,1240,2539520,8346.782526124036,2539520
1000.0,521.72981602,314,0.006878541,0.09765625,9.366453,-0.0005274119,11.85031,-0.08602309226989746,1260,2580480,8481.77866417903,2580480
994.44,509.5705813800001,297,0.018572781,0.26159668,9.3243885,-0.004383522,10.393355,-0.019765734672546387,1280,2621440,8616.749243031023,2621440
970.8,495.3877401000001,311,0.023681853,0.32263184,9.293449,0.0019417766,11.530414,-0.009374499320983887,1300,2662400,8751.014580179006,2662400
901.59,441.0343695600001,308,0.011860161,0.17358398,9.291279,-0.0025980999,9.009524,-0.005587339401245117,1320,2703360,8886.467038628994,2703360
911.62,423.45765375,300,0.011121242,0.1574707,9.271437,-0.0031240217,9.804568,-0.0027201175689697266,1340,2744320,9021.212590868992,2744320
966.14,430.42737165,303,0.0075377338,0.10192871,9.2251425,-0.002233087,14.223574,-0.01282954216003418,1360,2785280,9156.29129939602,2785280
981.72,445.0548393599999,307,0.008499585,0.12561035,9.178068,0.0010146517,12.182302,0.02327173948287964,1380,2826240,9291.157978345,2826240
996.04,469.6650314800001,323,0.008204583,0.12194824,9.105517,-0.0005706425,12.955036,-0.018503189086914062,1400,2867200,9424.785394517006,2867200
1000.0,490.32958145,302,0.012114196,0.18774414,9.038067,0.0035353885,11.625616,-0.016800522804260254,1420,2908160,9559.241178144992,2908160
1000.0,512.9160596500001,316,0.009318326,0.13549805,9.016666,0.0014448934,12.686142,-0.02091658115386963,1440,2949120,9693.560831570008,2949120
964.29,490.34525698000004,301,0.013890333,0.20336914,9.05058,-0.0023775627,10.709082,0.03876829147338867,1460,2990080,9828.753238735022,2990080
940.36,483.9710040100001,302,0.010957445,0.15576172,9.028673,0.0015424788,16.071682,0.18705588579177856,1480,3031040,9963.044505038997,3031040
960.12,508.8748259800001,305,0.0072890525,0.09680176,9.017854,-0.00075123215,15.753134,0.08361011743545532,1500,3072000,10095.955471518042,3072000
979.59,537.68422063,316,0.01176492,0.17565918,8.999637,-0.0021672943,11.14192,-0.0093764066696167,1520,3112960,10230.526192294026,3112960
1000.0,532.11874791,303,0.015078826,0.21252441,8.973348,0.0012365781,11.466703,-0.0053517818450927734,1540,3153920,10365.220002465008,3153920
1000.0,521.6864235999999,313,0.010964096,0.16442871,8.945308,-0.0038768824,15.712597,-0.0460817813873291,1560,3194880,10500.955449250003,3194880
984.92,515.82640541,307,0.012665574,0.19128418,8.9232235,-0.0029199582,12.155132,0.016124725341796875,1580,3235840,10635.619694266992,3235840
984.92,525.32063982,301,0.010493197,0.15600586,8.919266,-0.0013306313,12.873136,0.015709996223449707,1600,3276800,10770.80440011603,3276800
1000.0,531.2660616899999,307,0.009312886,0.13256836,8.87015,0.0021971765,13.615956,0.05745124816894531,1620,3317760,10906.243902192044,3317760
997.79,548.0916338999999,303,0.009534888,0.1361084,8.816255,-0.0023843264,13.126146,-0.009055733680725098,1640,3358720,11041.063534048037,3358720
997.79,537.07043356,296,0.007330807,0.10131836,8.827712,-0.0009843834,13.274044,-0.014341354370117188,1660,3399680,11174.250564988004,3399680
996.15,523.96122567,303,0.014234418,0.1895752,8.799395,0.0006416991,20.749424,0.3686997890472412,1680,3440640,11307.56000238302,3440640
998.36,519.0093524099999,309,0.007988485,0.11230469,8.79934,-0.00026542542,14.193052,0.08548080921173096,1700,3481600,11441.488691874023,3481600
1000.0,519.60997246,302,0.014205735,0.2211914,8.769603,0.00069448265,12.228498,0.0063667893409729,1720,3522560,11576.901082811004,3522560
993.05,513.90784152,302,0.0087953005,0.12817383,8.7193985,-0.00065067643,10.576541,-0.03748953342437744,1740,3563520,11711.606420656026,3563520
993.05,511.4830597,297,0.015628997,0.20214844,8.64735,0.0027460125,14.339161,0.226845383644104,1760,3604480,11847.013126589998,3604480
993.05,530.89343401,317,0.009916445,0.14086914,8.624425,0.003069871,11.485323,0.061806678771972656,1780,3645440,11982.190183589992,3645440
1000.0,545.93016579,301,0.00832618,0.119628906,8.624564,0.00045324722,12.902462,0.003951072692871094,1800,3686400,12117.361005022016,3686400
1000.0,531.9159179800001,307,0.008741491,0.13232422,8.572032,-0.00029369188,11.1247835,-0.01663053035736084,1820,3727360,12253.099581153016,3727360
1000.0,532.9059196599999,311,0.010151191,0.14611816,8.568923,-0.0011317884,14.007645,-0.023373842239379883,1840,3768320,12387.196513111005,3768320
996.5,537.96163326,300,0.01049592,0.1616211,8.559745,0.0021070854,18.804811,0.06221646070480347,1860,3809280,12522.790025847033,3809280
996.5,540.48352705,304,0.01178496,0.16210938,8.518088,-0.0022047786,13.85493,-0.06322348117828369,1880,3850240,12657.328503523022,3850240
988.06,544.05715638,302,0.0076795304,0.095458984,8.509383,0.00071677915,15.138681,0.019574761390686035,1900,3891200,12791.593821265036,3891200
991.56,566.84073519,325,0.0065102847,0.08862305,8.506575,0.00049291877,14.17958,-0.018691539764404297,1920,3932160,12925.853296785033,3932160
999.02,567.11651379,316,0.009071303,0.13134766,8.445938,0.0021605473,13.609478,0.006010293960571289,1940,3973120,13060.01778619003,3973120
999.02,545.2413092600001,304,0.017568707,0.23339844,8.443681,0.0010617545,16.108671,0.05085355043411255,1960,4014080,13194.33599044499,4014080
999.02,522.12417325,299,0.01210468,0.1854248,8.426995,-0.0012104178,13.62987,0.061918437480926514,1980,4055040,13330.52126981999,4055040
1000.0,523.4496641000001,301,0.009528664,0.14001465,8.404006,0.00094805297,12.933149,-0.030657649040222168,2000,4096000,13464.020207176043,4096000
1000.0,539.35885453,302,0.01274629,0.18469238,8.417695,-0.000107829284,15.017265,0.0161515474319458,2020,4136960,13598.25225592003,4136960
997.86,560.0223842700001,297,0.0138909165,0.20666504,8.363363,0.00016847669,14.352657,0.015484273433685303,2040,4177920,13733.839678349032,4177920
974.81,528.9448071700001,302,0.007339166,0.10021973,8.329543,-0.0035766452,17.868,-0.011393308639526367,2060,4218880,13868.880596675037,4218880
876.39,436.67375112,302,0.012588332,0.19030762,8.365197,0.0006647391,11.375878,-0.046085357666015625,2080,4259840,14003.686811654014,4259840
893.63,461.90356242999997,301,0.009248338,0.14294434,8.335602,-0.0017417785,15.904223,0.08819186687469482,2100,4300800,14138.233898224018,4300800
985.56,539.48165111,304,0.008673981,0.12792969,8.2885685,0.0005134987,12.203119,0.02387714385986328,2120,4341760,14272.985736421018,4341760
992.16,542.9050022000001,312,0.010846035,0.16027832,8.258328,-0.0014049734,12.691805,0.010458648204803467,2140,4382720,14408.11863695702,4382720
